"Município";"Unidade isolamento";"UTI adulto I";"UTI adulto II";"UTI adulto III";"Unidade de cuidados intermed adulto";"Total"
"314470 Nova Era";2;-;-;-;-;2
"314480 Nova Lima";10;-;27;20;-;57
"314490 Nova Módica";-;-;-;-;-;-
"314500 Nova Ponte";1;-;-;-;-;1
"314505 Nova Porteirinha";-;-;-;-;-;-
"314510 Nova Resende";-;-;-;-;-;-
"314520 Nova Serrana";-;-;-;-;-;-
"313660 Nova União";-;-;-;-;-;-
"314530 Novo Cruzeiro";-;-;-;-;-;-
"314535 Novo Oriente de Minas";-;-;-;-;-;-
"314537 Novorizonte";-;-;-;-;-;-
"314540 Olaria";-;-;-;-;-;-
"314545 Olhos-d'Água";-;-;-;-;-;-
"314550 Olímpio Noronha";-;-;-;-;-;-
"314560 Oliveira";-;-;10;-;-;10
"314570 Oliveira Fortes";-;-;-;-;-;-
"314580 Onça de Pitangui";-;-;-;-;-;-
"314585 Oratórios";-;-;-;-;-;-
"314587 Orizânia";-;-;-;-;-;-
"314590 Ouro Branco";-;-;8;-;-;8
"314600 Ouro Fino";-;-;-;-;-;-
"314610 Ouro Preto";1;-;10;-;3;14
"314620 Ouro Verde de Minas";-;-;-;-;-;-
"314625 Padre Carvalho";-;-;-;-;-;-
"314630 Padre Paraíso";-;-;-;-;-;-
"314655 Pai Pedro";-;-;-;-;-;-
"314640 Paineiras";-;-;-;-;-;-
"314650 Pains";-;-;-;-;-;-
"314660 Paiva";-;-;-;-;-;-
"314670 Palma";-;-;-;-;-;-
"314675 Palmópolis";-;-;-;-;-;-
"314690 Papagaios";-;-;-;-;-;-
"314710 Pará de Minas";-;-;10;-;-;10
"314700 Paracatu";5;-;8;-;-;13
"314720 Paraguaçu";-;-;-;-;-;-
"314730 Paraisópolis";-;-;-;-;-;-
"314740 Paraopeba";-;-;-;-;-;-
"314760 Passa Quatro";-;-;-;-;-;-
"314770 Passa Tempo";-;-;-;-;-;-
"314780 Passa-Vinte";-;-;-;-;-;-
"314750 Passabém";-;-;-;-;-;-
"314790 Passos";-;-;37;-;-;37
"314795 Patis";-;-;-;-;-;-
"314800 Patos de Minas";-;7;59;-;-;66
"314810 Patrocínio";3;-;26;-;-;29
"314820 Patrocínio do Muriaé";-;-;-;-;-;-
"314830 Paula Cândido";-;-;-;-;-;-
"314840 Paulistas";-;-;-;-;-;-
"314850 Pavão";-;-;-;-;-;-
"314860 Peçanha";-;-;-;-;-;-
"314870 Pedra Azul";1;-;-;-;-;1
"314875 Pedra Bonita";-;-;-;-;-;-
"314880 Pedra do Anta";-;-;-;-;-;-
"314890 Pedra do Indaiá";-;-;-;-;-;-
"314900 Pedra Dourada";-;-;-;-;-;-
"314910 Pedralva";-;-;-;-;-;-
"314915 Pedras de Maria da Cruz";-;-;-;-;-;-
"314920 Pedrinópolis";-;-;-;-;-;-
"314930 Pedro Leopoldo";-;-;-;-;-;-
"314940 Pedro Teixeira";-;-;-;-;-;-
"314950 Pequeri";-;-;-;-;-;-
"314960 Pequi";-;-;-;-;-;-
"314970 Perdigão";-;-;-;-;-;-
"314980 Perdizes";-;-;-;-;-;-
"314990 Perdões";-;-;-;-;-;-
"314995 Periquito";-;-;-;-;-;-
"315000 Pescador";-;-;-;-;-;-
"315010 Piau";-;-;-;-;-;-
"315015 Piedade de Caratinga";-;-;-;-;-;-
"315020 Piedade de Ponte Nova";-;-;-;-;-;-
"315030 Piedade do Rio Grande";2;-;-;-;-;2
"315040 Piedade dos Gerais";-;-;-;-;-;-
"315050 Pimenta";-;-;-;-;-;-
"315053 Pingo-d'Água";-;-;-;-;-;-
"315057 Pintópolis";-;-;-;-;-;-
"315060 Piracema";-;-;-;-;-;-
"315070 Pirajuba";-;-;-;-;-;-
"315080 Piranga";-;-;-;-;-;-
"315090 Piranguçu";-;-;-;-;-;-
"315100 Piranguinho";-;-;-;-;-;-
"315110 Pirapetinga";2;-;-;-;-;2
"315120 Pirapora";-;-;10;-;-;10
"315130 Piraúba";-;-;-;-;-;-
"315140 Pitangui";-;-;-;-;-;-
"315150 Piumhi";-;-;10;-;-;10
"315160 Planura";-;-;-;-;-;-
"315170 Poço Fundo";-;-;-;-;-;-
"315180 Poços de Caldas";9;11;55;-;-;75
"315190 Pocrane";2;-;-;-;-;2
"315200 Pompéu";1;-;-;-;-;1
"315210 Ponte Nova";6;-;30;-;-;36
"315213 Ponto Chique";-;-;-;-;-;-
"315217 Ponto dos Volantes";-;-;-;-;-;-
"315220 Porteirinha";-;-;-;-;-;-
"315230 Porto Firme";-;-;-;-;-;-
"315240 Poté";-;-;-;-;-;-
"315250 Pouso Alegre";1;5;35;-;-;41
"315260 Pouso Alto";-;-;-;-;-;-
"315270 Prados";-;-;-;-;-;-
"315280 Prata";1;-;-;-;-;1
"315290 Pratápolis";-;-;-;-;-;-
"315300 Pratinha";-;-;-;-;-;-
"315310 Presidente Bernardes";-;-;-;-;-;-
"315320 Presidente Juscelino";-;-;-;-;-;-
"315330 Presidente Kubitschek";-;-;-;-;-;-
"315340 Presidente Olegário";-;-;-;-;-;-
"315360 Prudente de Morais";-;-;-;-;-;-
"315370 Quartel Geral";-;-;-;-;-;-
"315380 Queluzito";-;-;-;-;-;-
"315390 Raposos";-;-;-;-;-;-
"315400 Raul Soares";-;-;-;-;-;-
"315410 Recreio";-;-;-;-;-;-
"315415 Reduto";-;-;-;-;-;-
"315420 Resende Costa";1;-;-;-;-;1
"315430 Resplendor";-;-;-;-;-;-
"315440 Ressaquinha";-;-;-;-;-;-
"315445 Riachinho";-;-;-;-;-;-
"315450 Riacho dos Machados";-;-;-;-;-;-
"315460 Ribeirão das Neves";-;-;-;-;-;-
"315470 Ribeirão Vermelho";-;-;-;-;-;-
"315480 Rio Acima";-;-;-;-;-;-
"315490 Rio Casca";-;-;-;-;-;-
"315510 Rio do Prado";-;-;-;-;-;-
"315500 Rio Doce";-;-;-;-;-;-
"315520 Rio Espera";2;-;-;-;-;2
"315530 Rio Manso";-;-;-;-;-;-
"315540 Rio Novo";-;-;-;-;-;-
"315550 Rio Paranaíba";1;-;-;-;-;1
"315560 Rio Pardo de Minas";-;-;-;-;-;-
"315570 Rio Piracicaba";-;-;-;-;-;-
"315580 Rio Pomba";-;-;-;-;-;-
"315590 Rio Preto";-;-;-;-;-;-
"315600 Rio Vermelho";-;-;-;-;-;-
"315610 Ritápolis";-;-;-;-;-;-
"315620 Rochedo de Minas";-;-;-;-;-;-
"315630 Rodeiro";-;-;-;-;-;-
"315640 Romaria";-;-;-;-;-;-
"315645 Rosário da Limeira";-;-;-;-;-;-
"315650 Rubelita";-;-;-;-;-;-
"315660 Rubim";-;-;-;-;-;-
"315670 Sabará";-;-;-;-;-;-
"315680 Sabinópolis";1;-;-;-;-;1
"315690 Sacramento";-;-;-;-;-;-
"315700 Salinas";-;-;-;-;-;-
"315710 Salto da Divisa";-;-;-;-;-;-
"315720 Santa Bárbara";-;-;-;-;-;-
"315725 Santa Bárbara do Leste";-;-;-;-;-;-
"315727 Santa Bárbara do Monte Verde";-;-;-;-;-;-
"315730 Santa Bárbara do Tugúrio";-;-;-;-;-;-
"315733 Santa Cruz de Minas";-;-;-;-;-;-
"315737 Santa Cruz de Salinas";-;-;-;-;-;-
"315740 Santa Cruz do Escalvado";-;-;-;-;-;-
"315750 Santa Efigênia de Minas";-;-;-;-;-;-
"315760 Santa Fé de Minas";-;-;-;-;-;-
"315765 Santa Helena de Minas";-;-;-;-;-;-
"315770 Santa Juliana";-;-;-;-;-;-
"315780 Santa Luzia";-;-;-;-;-;-
"315790 Santa Margarida";1;-;-;-;-;1
"315800 Santa Maria de Itabira";-;-;-;-;-;-
"315810 Santa Maria do Salto";-;-;-;-;-;-
"315820 Santa Maria do Suaçuí";-;-;-;-;-;-
"315920 Santa Rita de Caldas";-;-;-;-;-;-
"315940 Santa Rita de Ibitipoca";-;-;-;-;-;-
"315930 Santa Rita de Jacutinga";-;-;-;-;-;-
"315935 Santa Rita de Minas";-;-;-;-;-;-
"315950 Santa Rita do Itueto";-;-;-;-;-;-
"315960 Santa Rita do Sapucaí";-;-;-;-;-;-
"315970 Santa Rosa da Serra";-;-;-;-;-;-
"315980 Santa Vitória";-;-;-;-;-;-
"315830 Santana da Vargem";-;-;-;-;-;-
"315840 Santana de Cataguases";-;-;-;-;-;-
"315850 Santana de Pirapama";-;-;-;-;-;-
"315860 Santana do Deserto";-;-;-;-;-;-
"315870 Santana do Garambéu";-;-;-;-;-;-
"315880 Santana do Jacaré";-;-;-;-;-;-
"315890 Santana do Manhuaçu";-;-;-;-;-;-
"315895 Santana do Paraíso";-;-;-;-;-;-
"315900 Santana do Riacho";-;-;-;-;-;-
"315910 Santana dos Montes";-;-;-;-;-;-
"315990 Santo Antônio do Amparo";-;-;10;-;-;10
"316000 Santo Antônio do Aventureiro";-;-;-;-;-;-
"316010 Santo Antônio do Grama";-;-;-;-;-;-
"316020 Santo Antônio do Itambé";-;-;-;-;-;-
"316030 Santo Antônio do Jacinto";-;-;-;-;-;-
"316040 Santo Antônio do Monte";-;-;-;-;-;-
"316045 Santo Antônio do Retiro";-;-;-;-;-;-
"316050 Santo Antônio do Rio Abaixo";-;-;-;-;-;-
"316060 Santo Hipólito";-;-;-;-;-;-
"316070 Santos Dumont";-;-;6;-;-;6
"316080 São Bento Abade";-;-;-;-;-;-
"316090 São Brás do Suaçuí";-;-;-;-;-;-
"316095 São Domingos das Dores";-;-;-;-;-;-
"316100 São Domingos do Prata";1;-;-;-;-;1
"316105 São Félix de Minas";-;-;-;-;-;-
"316110 São Francisco";-;-;-;-;-;-
"316120 São Francisco de Paula";-;-;-;-;-;-
"316130 São Francisco de Sales";-;-;-;-;-;-
"316140 São Francisco do Glória";-;-;-;-;-;-
"316150 São Geraldo";-;-;-;-;-;-
"316160 São Geraldo da Piedade";-;-;-;-;-;-
"316165 São Geraldo do Baixio";-;-;-;-;-;-
"316170 São Gonçalo do Abaeté";-;-;-;-;-;-
"316180 São Gonçalo do Pará";-;-;-;-;-;-
"316190 São Gonçalo do Rio Abaixo";-;-;-;-;-;-
"312550 São Gonçalo do Rio Preto";-;-;-;-;-;-
"316200 São Gonçalo do Sapucaí";1;-;-;-;-;1
"316210 São Gotardo";-;-;-;-;-;-
"316220 São João Batista do Glória";4;-;-;-;-;4
"316225 São João da Lagoa";-;-;-;-;-;-
"316230 São João da Mata";-;-;-;-;-;-
"316240 São João da Ponte";-;-;-;-;-;-
"316245 São João das Missões";-;-;-;-;-;-
"316250 São João del Rei";4;-;20;-;6;30
"316255 São João do Manhuaçu";-;-;-;-;-;-
"316257 São João do Manteninha";-;-;-;-;-;-
"316260 São João do Oriente";-;-;-;-;-;-
"316265 São João do Pacuí";-;-;-;-;-;-
"316270 São João do Paraíso";1;-;-;-;-;1
"316280 São João Evangelista";-;-;-;-;-;-
"316290 São João Nepomuceno";-;-;-;-;-;-
"316292 São Joaquim de Bicas";-;-;-;-;-;-
"316294 São José da Barra";-;-;-;-;-;-
"316295 São José da Lapa";-;-;-;-;-;-
"316300 São José da Safira";-;-;-;-;-;-
"316310 São José da Varginha";-;-;-;-;-;-
"316320 São José do Alegre";-;-;-;-;-;-
"316330 São José do Divino";-;-;-;-;-;-
"316340 São José do Goiabal";-;-;-;-;-;-
"316350 São José do Jacuri";-;-;-;-;-;-
"316360 São José do Mantimento";-;-;-;-;-;-
"316370 São Lourenço";-;-;10;-;-;10
"316380 São Miguel do Anta";-;-;-;-;-;-
"316390 São Pedro da União";-;-;-;-;-;-
"316410 São Pedro do Suaçuí";-;-;-;-;-;-
"316400 São Pedro dos Ferros";-;-;-;-;-;-
"316420 São Romão";-;-;-;-;-;-
"316430 São Roque de Minas";-;-;-;-;-;-
"316440 São Sebastião da Bela Vista";-;-;-;-;-;-
"316443 São Sebastião da Vargem Alegre";-;-;-;-;-;-
"316447 São Sebastião do Anta";-;-;-;-;-;-
"316450 São Sebastião do Maranhão";-;-;-;-;-;-
"316460 São Sebastião do Oeste";-;-;-;-;-;-
"316470 São Sebastião do Paraíso";-;-;22;-;-;22
"316480 São Sebastião do Rio Preto";-;-;-;-;-;-
"316490 São Sebastião do Rio Verde";-;-;-;-;-;-
"316520 São Thomé das Letras";-;-;-;-;-;-
"316500 São Tiago";-;-;-;-;-;-
"316510 São Tomás de Aquino";-;-;-;-;-;-
"316530 São Vicente de Minas";1;-;-;-;-;1
"316540 Sapucaí-Mirim";-;-;-;-;-;-
"316550 Sardoá";-;-;-;-;-;-
"316553 Sarzedo";-;-;-;-;-;-
"316556 Sem-Peixe";-;-;-;-;-;-
"316557 Senador Amaral";-;-;-;-;-;-
"316560 Senador Cortes";-;-;-;-;-;-
"316570 Senador Firmino";-;-;-;-;-;-
"316580 Senador José Bento";-;-;-;-;-;-
"316590 Senador Modestino Gonçalves";-;-;-;-;-;-
"316600 Senhora de Oliveira";-;-;-;-;-;-
"316610 Senhora do Porto";-;-;-;-;-;-
"316620 Senhora dos Remédios";-;-;-;-;-;-
"316630 Sericita";-;-;-;-;-;-
"316640 Seritinga";-;-;-;-;-;-
"316650 Serra Azul de Minas";-;-;-;-;-;-
"316660 Serra da Saudade";-;-;-;-;-;-
"316680 Serra do Salitre";-;-;-;-;-;-
"316670 Serra dos Aimorés";-;-;-;-;-;-
"316690 Serrania";-;-;-;-;-;-
"316695 Serranópolis de Minas";-;-;-;-;-;-
"316700 Serranos";-;-;-;-;-;-
"316710 Serro";-;-;-;-;-;-
"316720 Sete Lagoas";2;-;28;-;-;30
"316555 Setubinha";-;-;-;-;-;-
"316730 Silveirânia";-;-;-;-;-;-
"316740 Silvianópolis";-;-;-;-;-;-
"316750 Simão Pereira";-;-;-;-;-;-
"316760 Simonésia";-;-;-;-;-;-
"316770 Sobrália";-;-;-;-;-;-
"316780 Soledade de Minas";-;-;-;-;-;-
"316790 Tabuleiro";-;-;-;-;-;-
"316800 Taiobeiras";-;-;10;-;-;10
"316805 Taparuba";-;-;-;-;-;-
"316810 Tapira";-;-;-;-;-;-
"316820 Tapiraí";-;-;-;-;-;-
"316830 Taquaraçu de Minas";-;-;-;-;-;-
"316840 Tarumirim";-;-;-;-;-;-
"316850 Teixeiras";-;-;-;-;-;-
"316860 Teófilo Otoni";1;10;20;-;-;31
"316870 Timóteo";-;-;8;-;-;8
"316880 Tiradentes";-;-;-;-;-;-
"316890 Tiros";-;-;-;-;-;-
"316900 Tocantins";-;-;-;-;-;-
"316905 Tocos do Moji";-;-;-;-;-;-
"316910 Toledo";-;-;-;-;-;-
"316920 Tombos";1;-;-;-;-;1
"316930 Três Corações";-;-;10;-;-;10
"316935 Três Marias";1;-;-;-;-;1
"316940 Três Pontas";-;-;10;-;-;10
"316950 Tumiritinga";-;-;-;-;-;-
"316960 Tupaciguara";-;-;-;-;-;-
"316970 Turmalina";3;-;-;-;-;3
"316980 Turvolândia";-;-;-;-;-;-
"316990 Ubá";7;-;27;-;-;34
"317000 Ubaí";-;-;-;-;-;-
"317005 Ubaporanga";-;-;-;-;-;-
"317010 Uberaba";8;-;63;10;-;81
"317020 Uberlândia";13;-;140;52;-;205
"317030 Umburatiba";-;-;-;-;-;-
"317040 Unaí";2;-;-;-;-;2
"317043 União de Minas";-;-;-;-;-;-
"317047 Uruana de Minas";-;-;-;-;-;-
"317050 Urucânia";-;-;-;-;-;-
"317052 Urucuia";-;-;-;-;-;-
"317057 Vargem Alegre";-;-;-;-;-;-
"317060 Vargem Bonita";-;-;-;-;-;-
"317065 Vargem Grande do Rio Pardo";-;-;-;-;-;-
"317070 Varginha";-;2;44;-;-;46
"317075 Varjão de Minas";-;-;-;-;-;-
"317080 Várzea da Palma";-;-;-;-;-;-
"317090 Varzelândia";-;-;-;-;-;-
"317100 Vazante";-;-;-;-;-;-
"317103 Verdelândia";-;-;-;-;-;-
"317107 Veredinha";-;-;-;-;-;-
"317110 Veríssimo";-;-;-;-;-;-
"317115 Vermelho Novo";-;-;-;-;-;-
"317120 Vespasiano";1;-;-;-;-;1
"317130 Viçosa";2;-;15;-;-;17
"317140 Vieiras";-;-;-;-;-;-
"317160 Virgem da Lapa";-;-;-;-;-;-
"317170 Virgínia";1;-;-;-;-;1
"317180 Virginópolis";-;-;-;-;-;-
"317190 Virgolândia";-;-;-;-;-;-
"317200 Visconde do Rio Branco";-;-;10;-;-;10
"317210 Volta Grande";-;-;-;-;-;-
"317220 Wenceslau Braz";-;-;-;-;-;-
"310000 Município ignorado - MG";-;-;-;-;-;-
"320010 Afonso Cláudio";-;-;-;-;-;-
"320016 Água Doce do Norte";-;-;-;-;-;-
"320013 Águia Branca";-;-;-;-;-;-
"320020 Alegre";1;-;-;-;-;1
"320030 Alfredo Chaves";-;-;-;-;-;-
"320035 Alto Rio Novo";-;-;-;-;-;-
"320040 Anchieta";1;-;-;-;-;1
"320050 Apiacá";-;-;-;-;-;-
"320060 Aracruz";-;-;10;-;-;10
"320070 Atilio Vivacqua";-;-;-;-;-;-
"320080 Baixo Guandu";1;-;-;-;-;1
"320090 Barra de São Francisco";1;10;-;-;-;11
"320100 Boa Esperança";-;-;-;-;-;-
"320110 Bom Jesus do Norte";-;-;-;-;-;-
"320115 Brejetuba";-;-;-;-;-;-
"320120 Cachoeiro de Itapemirim";3;7;61;-;-;71
"320130 Cariacica";2;6;38;-;-;46
"320140 Castelo";-;-;-;-;-;-
"320150 Colatina";9;8;44;-;-;61
"320160 Conceição da Barra";-;-;-;-;-;-
"320170 Conceição do Castelo";1;-;-;-;-;1
"320180 Divino de São Lourenço";-;-;-;-;-;-
"320190 Domingos Martins";-;-;-;-;-;-
"320200 Dores do Rio Preto";-;-;-;-;-;-
"320210 Ecoporanga";-;-;-;-;-;-
"320220 Fundão";-;-;-;-;-;-
"320225 Governador Lindenberg";-;-;-;-;-;-
"320230 Guaçuí";-;-;20;-;-;20
"320240 Guarapari";-;-;-;-;-;-
"320245 Ibatiba";-;-;-;-;3;3
"320250 Ibiraçu";-;-;-;-;-;-
"320255 Ibitirama";-;-;-;-;-;-
"320260 Iconha";2;-;-;-;-;2
"320265 Irupi";-;-;-;-;-;-
"320270 Itaguaçu";6;-;-;-;-;6
"320280 Itapemirim";-;-;-;-;-;-
"320290 Itarana";1;-;-;-;-;1
"320300 Iúna";-;-;-;-;-;-
"320305 Jaguaré";-;-;-;-;-;-
"320310 Jerônimo Monteiro";1;-;-;-;-;1
"320313 João Neiva";-;-;-;-;-;-
"320316 Laranja da Terra";1;-;-;-;-;1
"320320 Linhares";4;10;18;-;14;46
"320330 Mantenópolis";-;-;-;-;-;-
"320332 Marataízes";-;-;-;-;-;-
"320334 Marechal Floriano";-;-;-;-;-;-
"320335 Marilândia";-;-;-;-;-;-
"320340 Mimoso do Sul";1;-;-;-;-;1
"320350 Montanha";-;-;-;-;-;-
"320360 Mucurici";-;-;-;-;-;-
"320370 Muniz Freire";-;-;-;-;-;-
"320380 Muqui";-;-;-;-;-;-
"320390 Nova Venécia";1;-;-;-;-;1
"320400 Pancas";-;-;-;-;-;-
"320405 Pedro Canário";-;-;-;-;-;-
"320410 Pinheiros";-;-;-;-;-;-
"320420 Piúma";-;-;-;-;-;-
"320425 Ponto Belo";-;-;-;-;-;-
"320430 Presidente Kennedy";-;-;-;-;-;-
"320435 Rio Bananal";2;-;-;-;-;2
"320440 Rio Novo do Sul";-;-;-;-;-;-
"320450 Santa Leopoldina";-;-;-;-;-;-
"320455 Santa Maria de Jetibá";-;-;-;-;-;-
"320460 Santa Teresa";3;-;10;-;-;13
"320465 São Domingos do Norte";-;-;-;-;-;-
"320470 São Gabriel da Palha";1;-;-;-;-;1
"320480 São José do Calçado";1;-;10;-;-;11
"320490 São Mateus";4;19;19;-;-;42
"320495 São Roque do Canaã";-;-;-;-;-;-
"320500 Serra";3;-;155;-;13;171
"320501 Sooretama";-;-;-;-;-;-
"320503 Vargem Alta";-;-;-;-;-;-
"320506 Venda Nova do Imigrante";1;-;10;-;2;13
"320510 Viana";-;-;-;-;-;-
"320515 Vila Pavão";-;-;-;-;-;-
"320517 Vila Valério";-;-;-;-;-;-
"320520 Vila Velha";3;-;86;-;4;93
"320530 Vitória";12;25;150;-;12;199
"320000 Município ignorado - ES";-;-;-;-;-;-
"330010 Angra dos Reis";3;6;17;-;37;63
"330015 Aperibé";-;-;-;-;-;-
"330020 Araruama";5;-;16;-;7;28
"330022 Areal";-;-;-;-;-;-
"330023 Armação dos Búzios";2;-;-;-;2;4
"330025 Arraial do Cabo";1;-;8;-;-;9
"330030 Barra do Piraí";2;-;7;7;-;16
"330040 Barra Mansa";6;25;18;-;-;49
"330045 Belford Roxo";5;-;-;-;-;5
"330050 Bom Jardim";-;-;-;-;2;2
"330060 Bom Jesus do Itabapoana";2;-;10;-;-;12
"330070 Cabo Frio";11;33;22;-;3;69
"330080 Cachoeiras de Macacu";2;-;-;-;-;2
"330090 Cambuci";2;-;4;-;-;6
"330100 Campos dos Goytacazes";14;4;173;31;18;240
"330110 Cantagalo";-;-;20;-;-;20
"330093 Carapebus";-;-;-;-;-;-
"330115 Cardoso Moreira";-;-;-;-;-;-
"330120 Carmo";1;-;-;-;3;4
"330130 Casimiro de Abreu";4;-;-;-;4;8
"330095 Comendador Levy Gasparian";-;-;-;-;-;-
"330140 Conceição de Macabu";-;-;-;-;-;-
"330150 Cordeiro";-;-;-;-;-;-
"330160 Duas Barras";-;-;-;-;-;-
"330170 Duque de Caxias";16;25;77;38;13;169
"330180 Engenheiro Paulo de Frontin";-;-;-;-;-;-
"330185 Guapimirim";1;-;-;-;-;1
"330187 Iguaba Grande";-;-;-;-;-;-
"330190 Itaboraí";3;10;8;-;-;21
"330200 Itaguaí";2;-;10;-;-;12
"330205 Italva";-;-;-;-;-;-
"330210 Itaocara";1;4;-;-;4;9
"330220 Itaperuna";2;-;65;27;-;94
"330225 Itatiaia";-;-;-;-;-;-
"330227 Japeri";-;-;-;-;-;-
"330230 Laje do Muriaé";-;-;-;-;-;-
"330240 Macaé";9;17;47;10;8;91
"330245 Macuco";-;-;-;-;-;-
"330250 Magé";4;-;-;-;3;7
"330260 Mangaratiba";-;-;-;-;-;-
"330270 Maricá";-;-;-;-;5;5
"330280 Mendes";-;-;-;-;-;-
"330285 Mesquita";-;-;-;-;-;-
"330290 Miguel Pereira";3;-;-;-;-;3
"330300 Miracema";2;9;-;-;-;11
"330310 Natividade";-;-;-;-;-;-
"330320 Nilópolis";-;2;6;-;4;12
"330330 Niterói";26;103;81;36;17;263
"330340 Nova Friburgo";9;-;28;-;15;52
"330350 Nova Iguaçu";7;22;46;-;-;75
"330360 Paracambi";-;-;-;-;-;-
"330370 Paraíba do Sul";2;-;7;-;2;11
"330380 Paraty";1;-;-;-;-;1
"330385 Paty do Alferes";-;-;-;-;-;-
"330390 Petrópolis";14;25;70;62;-;171
"330395 Pinheiral";1;-;-;-;-;1
"330400 Piraí";1;-;-;-;-;1
"330410 Porciúncula";-;-;-;-;-;-
"330411 Porto Real";1;-;6;-;-;7
"330412 Quatis";1;-;-;-;-;1
"330414 Queimados";-;-;-;-;-;-
"330415 Quissamã";2;-;6;-;-;8
"330420 Resende";19;-;19;16;7;61
"330430 Rio Bonito";-;-;10;-;3;13
"330440 Rio Claro";-;-;-;-;1;1
"330450 Rio das Flores";-;-;-;-;-;-
"330452 Rio das Ostras";-;10;-;-;-;10
"330455 Rio de Janeiro";169;980;647;640;390;2826
"330460 Santa Maria Madalena";-;-;-;-;-;-
"330470 Santo Antônio de Pádua";2;8;-;-;-;10
"330480 São Fidélis";-;-;10;-;2;12
"330475 São Francisco de Itabapoana";-;-;-;-;-;-
"330490 São Gonçalo";6;41;94;10;31;182
"330500 São João da Barra";-;-;-;-;-;-
"330510 São João de Meriti";3;7;10;-;-;20
"330513 São José de Ubá";-;-;-;-;-;-
"330515 São José do Vale do Rio Preto";1;-;-;-;-;1
"330520 São Pedro da Aldeia";1;-;-;-;-;1
"330530 São Sebastião do Alto";1;-;-;-;3;4
"330540 Sapucaia";-;-;-;-;-;-
"330550 Saquarema";1;-;15;-;11;27
"330555 Seropédica";-;-;-;-;-;-
"330560 Silva Jardim";-;-;-;-;-;-
"330570 Sumidouro";-;-;-;-;-;-
"330575 Tanguá";-;-;-;-;-;-
"330580 Teresópolis";-;-;30;-;-;30
"330590 Trajano de Moraes";-;-;-;-;2;2
"330600 Três Rios";-;-;10;-;-;10
"330610 Valença";-;-;20;-;3;23
"330615 Varre-Sai";2;-;-;-;1;3
"330620 Vassouras";3;-;35;-;-;38
"330630 Volta Redonda";10;12;102;4;4;132
"330000 Município ignorado - RJ";-;-;-;-;-;-
"350010 Adamantina";-;-;5;-;-;5
"350020 Adolfo";-;-;-;-;-;-
"350030 Aguaí";-;-;-;-;-;-
"350040 Águas da Prata";-;-;-;-;-;-
"350050 Águas de Lindóia";-;-;-;-;-;-
"350055 Águas de Santa Bárbara";-;-;-;-;-;-
"350060 Águas de São Pedro";-;-;-;-;-;-
"350070 Agudos";-;-;-;-;-;-
"350075 Alambari";-;-;-;-;-;-
"350080 Alfredo Marcondes";-;-;-;-;-;-
"350090 Altair";-;-;-;-;-;-
"350100 Altinópolis";-;-;-;-;-;-
"350110 Alto Alegre";-;-;-;-;-;-
"350115 Alumínio";-;-;-;-;-;-
"350120 Álvares Florence";-;-;-;-;-;-
"350130 Álvares Machado";-;-;-;-;-;-
"350140 Álvaro de Carvalho";-;-;-;-;-;-
"350150 Alvinlândia";-;-;-;-;-;-
"350160 Americana";-;-;27;9;-;36
"350170 Américo Brasiliense";-;-;10;-;-;10
"350180 Américo de Campos";-;-;-;-;-;-
"350190 Amparo";1;-;9;-;-;10
"350200 Analândia";-;-;-;-;-;-
"350210 Andradina";-;-;10;-;-;10
"350220 Angatuba";-;-;-;-;-;-
"350230 Anhembi";-;-;-;-;-;-
"350240 Anhumas";-;-;-;-;-;-
"350250 Aparecida";-;-;9;-;-;9
"350260 Aparecida d'Oeste";-;-;-;-;-;-
"350270 Apiaí";-;-;-;-;-;-
"350275 Araçariguama";-;-;-;-;-;-
"350280 Araçatuba";8;8;20;-;12;48
"350290 Araçoiaba da Serra";-;-;-;-;-;-
"350300 Aramina";-;-;-;-;-;-
"350310 Arandu";-;-;-;-;-;-
"350315 Arapeí";-;-;-;-;-;-
"350320 Araraquara";-;14;18;-;-;32
"350330 Araras";5;10;-;11;-;26
"350335 Arco-Íris";-;-;-;-;-;-
"350340 Arealva";-;-;-;-;-;-
"350350 Areias";-;-;-;-;-;-
"350360 Areiópolis";-;-;-;-;-;-
"350370 Ariranha";-;-;-;-;-;-
"350380 Artur Nogueira";-;-;-;-;-;-
"350390 Arujá";5;-;8;-;-;13
"350395 Aspásia";-;-;-;-;-;-
"350400 Assis";1;6;21;-;-;28
"350410 Atibaia";-;21;-;-;-;21
"350420 Auriflama";-;-;-;-;-;-
"350430 Avaí";-;-;-;-;-;-
"350440 Avanhandava";-;-;-;-;-;-
"350450 Avaré";5;-;10;-;-;15
"350460 Bady Bassitt";-;-;-;-;-;-
"350470 Balbinos";-;-;-;-;-;-
"350480 Bálsamo";-;-;-;-;-;-
"350490 Bananal";-;-;-;-;-;-
"350500 Barão de Antonina";-;-;-;-;-;-
"350510 Barbosa";-;-;-;-;-;-
"350520 Bariri";2;-;-;-;5;7
"350530 Barra Bonita";1;-;-;-;6;7
"350535 Barra do Chapéu";-;-;-;-;-;-
"350540 Barra do Turvo";-;-;-;-;-;-
"350550 Barretos";6;18;26;30;-;80
"350560 Barrinha";-;-;-;-;-;-
"350570 Barueri";10;13;20;-;6;49
"350580 Bastos";-;-;-;-;-;-
"350590 Batatais";-;-;8;-;-;8
"350600 Bauru";5;32;68;-;13;118
"350610 Bebedouro";3;-;6;-;-;9
