"Município";"Quantidade existente";"Quantidade SUS";"Quantidade Não SUS"
"220390 Floriano";218;201;17
"220400 Francinópolis";14;14;-
"220410 Francisco Ayres";4;4;-
"220415 Francisco Macedo";-;-;-
"220420 Francisco Santos";14;14;-
"220430 Fronteiras";25;25;-
"220435 Geminiano";-;-;-
"220440 Gilbués";9;9;-
"220450 Guadalupe";32;32;-
"220455 Guaribas";-;-;-
"220460 Hugo Napoleão";-;-;-
"220465 Ilha Grande";-;-;-
"220470 Inhuma";11;11;-
"220480 Ipiranga do Piauí";15;15;-
"220490 Isaías Coelho";20;20;-
"220500 Itainópolis";21;21;-
"220510 Itaueira";26;26;-
"220515 Jacobina do Piauí";-;-;-
"220520 Jaicós";35;31;4
"220525 Jardim do Mulato";-;-;-
"220527 Jatobá do Piauí";-;-;-
"220530 Jerumenha";7;7;-
"220535 João Costa";-;-;-
"220540 Joaquim Pires";17;17;-
"220545 Joca Marques";6;6;-
"220550 José de Freitas";24;24;-
"220551 Juazeiro do Piauí";-;-;-
"220552 Júlio Borges";-;-;-
"220553 Jurema";13;13;-
"220555 Lagoa Alegre";10;10;-
"220557 Lagoa de São Francisco";-;-;-
"220556 Lagoa do Barro do Piauí";-;-;-
"220558 Lagoa do Piauí";-;-;-
"220559 Lagoa do Sítio";-;-;-
"220554 Lagoinha do Piauí";-;-;-
"220560 Landri Sales";8;8;-
"220570 Luís Correia";43;43;-
"220580 Luzilândia";38;38;-
"220585 Madeiro";7;7;-
"220590 Manoel Emídio";11;11;-
"220595 Marcolândia";38;38;-
"220600 Marcos Parente";11;11;-
"220605 Massapê do Piauí";-;-;-
"220610 Matias Olímpio";15;15;-
"220620 Miguel Alves";22;20;2
"220630 Miguel Leão";-;-;-
"220635 Milton Brandão";-;-;-
"220640 Monsenhor Gil";13;13;-
"220650 Monsenhor Hipólito";20;20;-
"220660 Monte Alegre do Piauí";25;25;-
"220665 Morro Cabeça no Tempo";-;-;-
"220667 Morro do Chapéu do Piauí";-;-;-
"220669 Murici dos Portelas";-;-;-
"220670 Nazaré do Piauí";6;6;-
"220672 Nazária";-;-;-
"220675 Nossa Senhora de Nazaré";-;-;-
"220680 Nossa Senhora dos Remédios";9;9;-
"220795 Nova Santa Rita";-;-;-
"220690 Novo Oriente do Piauí";8;8;-
"220695 Novo Santo Antônio";-;-;-
"220700 Oeiras";103;91;12
"220710 Olho D'Água do Piauí";-;-;-
"220720 Padre Marcos";36;36;-
"220730 Paes Landim";8;8;-
"220735 Pajeú do Piauí";-;-;-
"220740 Palmeira do Piauí";12;12;-
"220750 Palmeirais";16;16;-
"220755 Paquetá";-;-;-
"220760 Parnaguá";17;17;-
"220770 Parnaíba";573;505;68
"220775 Passagem Franca do Piauí";-;-;-
"220777 Patos do Piauí";-;-;-
"220779 Pau D'Arco do Piauí";-;-;-
"220780 Paulistana";75;72;3
"220785 Pavussu";-;-;-
"220790 Pedro II";69;48;21
"220793 Pedro Laurentino";-;-;-
"220800 Picos";312;271;41
"220810 Pimenteiras";16;16;-
"220820 Pio IX";35;35;-
"220830 Piracuruca";65;65;-
"220840 Piripiri";100;100;-
"220850 Porto";17;17;-
"220855 Porto Alegre do Piauí";3;3;-
"220860 Prata do Piauí";16;16;-
"220865 Queimada Nova";-;-;-
"220870 Redenção do Gurguéia";19;19;-
"220880 Regeneração";29;29;-
"220885 Riacho Frio";-;-;-
"220887 Ribeira do Piauí";-;-;-
"220890 Ribeiro Gonçalves";17;17;-
"220900 Rio Grande do Piauí";2;2;-
"220910 Santa Cruz do Piauí";21;20;1
"220915 Santa Cruz dos Milagres";-;-;-
"220920 Santa Filomena";10;10;-
"220930 Santa Luz";-;-;-
"220937 Santa Rosa do Piauí";16;8;8
"220935 Santana do Piauí";-;-;-
"220940 Santo Antônio de Lisboa";4;4;-
"220945 Santo Antônio dos Milagres";-;-;-
"220950 Santo Inácio do Piauí";7;7;-
"220955 São Braz do Piauí";-;-;-
"220960 São Félix do Piauí";20;20;-
"220965 São Francisco de Assis do Piauí";-;-;-
"220970 São Francisco do Piauí";7;7;-
"220975 São Gonçalo do Gurguéia";-;-;-
"220980 São Gonçalo do Piauí";12;12;-
"220985 São João da Canabrava";-;-;-
"220987 São João da Fronteira";-;-;-
"220990 São João da Serra";12;12;-
"220995 São João da Varjota";-;-;-
"220997 São João do Arraial";-;-;-
"221000 São João do Piauí";75;75;-
"221005 São José do Divino";-;-;-
"221010 São José do Peixe";6;6;-
"221020 São José do Piauí";8;8;-
"221030 São Julião";29;29;-
"221035 São Lourenço do Piauí";-;-;-
"221037 São Luis do Piauí";-;-;-
"221038 São Miguel da Baixa Grande";-;-;-
"221039 São Miguel do Fidalgo";-;-;-
"221040 São Miguel do Tapuio";39;26;13
"221050 São Pedro do Piauí";41;41;-
"221060 São Raimundo Nonato";276;276;-
"221062 Sebastião Barros";-;-;-
"221063 Sebastião Leal";-;-;-
"221065 Sigefredo Pacheco";-;-;-
"221070 Simões";52;52;-
"221080 Simplício Mendes";32;32;-
"221090 Socorro do Piauí";12;12;-
"221093 Sussuapara";-;-;-
"221095 Tamboril do Piauí";-;-;-
"221097 Tanque do Piauí";-;-;-
"221100 Teresina";3162;2404;758
"221110 União";50;50;-
"221120 Uruçuí";37;37;-
"221130 Valença do Piauí";46;46;-
"221135 Várzea Branca";-;-;-
"221140 Várzea Grande";14;14;-
"221150 Vera Mendes";-;-;-
"221160 Vila Nova do Piauí";-;-;-
"221170 Wall Ferraz";19;19;-
"220000 Município ignorado - PI";-;-;-
"230010 Abaiara";1;1;-
"230015 Acarape";-;-;-
"230020 Acaraú";73;70;3
"230030 Acopiara";98;98;-
"230040 Aiuaba";29;29;-
"230050 Alcântaras";-;-;-
"230060 Altaneira";19;19;-
"230070 Alto Santo";33;33;-
"230075 Amontada";40;40;-
"230080 Antonina do Norte";16;16;-
"230090 Apuiarés";12;12;-
"230100 Aquiraz";123;40;83
"230110 Aracati";103;90;13
"230120 Aracoiaba";50;50;-
"230125 Ararendá";20;20;-
"230130 Araripe";42;42;-
"230140 Aratuba";12;12;-
"230150 Arneiroz";16;16;-
"230160 Assaré";46;46;-
"230170 Aurora";89;89;-
"230180 Baixio";19;19;-
"230185 Banabuiú";17;17;-
"230190 Barbalha";386;307;79
"230195 Barreira";25;25;-
"230200 Barro";30;30;-
"230205 Barroquinha";9;9;-
"230210 Baturité";66;52;14
"230220 Beberibe";25;25;-
"230230 Bela Cruz";30;30;-
"230240 Boa Viagem";66;66;-
"230250 Brejo Santo";230;203;27
"230260 Camocim";92;91;1
"230270 Campos Sales";86;86;-
"230280 Canindé";125;121;4
"230290 Capistrano";14;14;-
"230300 Caridade";21;21;-
"230310 Cariré";18;18;-
"230320 Caririaçu";33;33;-
"230330 Cariús";16;16;-
"230340 Carnaubal";16;16;-
"230350 Cascavel";68;65;3
"230360 Catarina";18;18;-
"230365 Catunda";23;23;-
"230370 Caucaia";239;159;80
"230380 Cedro";54;50;4
"230390 Chaval";23;23;-
"230393 Choró";16;16;-
"230395 Chorozinho";8;8;-
"230400 Coreaú";14;14;-
"230410 Crateús";186;162;24
"230420 Crato";397;194;203
"230423 Croatá";37;37;-
"230425 Cruz";56;56;-
"230426 Deputado Irapuan Pinheiro";12;12;-
"230427 Ererê";9;9;-
"230428 Eusébio";120;56;64
"230430 Farias Brito";43;43;-
"230435 Forquilha";8;8;-
"230440 Fortaleza";8287;5296;2991
"230445 Fortim";12;12;-
"230450 Frecheirinha";16;16;-
"230460 General Sampaio";13;13;-
"230465 Graça";-;-;-
"230470 Granja";50;50;-
"230480 Granjeiro";25;25;-
"230490 Groaíras";19;19;-
"230495 Guaiúba";13;13;-
"230500 Guaraciaba do Norte";40;40;-
"230510 Guaramiranga";11;11;-
"230520 Hidrolândia";23;23;-
"230523 Horizonte";48;48;-
"230526 Ibaretama";21;21;-
"230530 Ibiapina";37;37;-
"230533 Ibicuitinga";8;8;-
"230535 Icapuí";16;16;-
"230540 Icó";56;54;2
"230550 Iguatu";239;197;42
"230560 Independência";19;19;-
"230565 Ipaporanga";18;18;-
"230570 Ipaumirim";26;26;-
"230580 Ipu";144;63;81
"230590 Ipueiras";47;40;7
"230600 Iracema";31;31;-
"230610 Irauçuba";21;21;-
"230620 Itaiçaba";17;17;-
"230625 Itaitinga";26;26;-
"230630 Itapagé";36;34;2
"230640 Itapipoca";154;140;14
"230650 Itapiúna";28;28;-
"230655 Itarema";35;35;-
"230660 Itatira";-;-;-
"230670 Jaguaretama";20;20;-
"230680 Jaguaribara";40;40;-
"230690 Jaguaribe";30;30;-
"230700 Jaguaruana";24;24;-
"230710 Jardim";64;64;-
"230720 Jati";33;33;-
"230725 Jijoca de Jericoacoara";24;24;-
"230730 Juazeiro do Norte";492;403;89
"230740 Jucás";25;25;-
"230750 Lavras da Mangabeira";47;43;4
"230760 Limoeiro do Norte";296;278;18
"230763 Madalena";24;24;-
"230765 Maracanaú";356;302;54
"230770 Maranguape";111;51;60
"230780 Marco";33;33;-
"230790 Martinópole";9;9;-
"230800 Massapê";30;30;-
"230810 Mauriti";70;70;-
"230820 Meruoca";20;20;-
"230830 Milagres";77;67;10
"230835 Milhã";28;28;-
"230837 Miraíma";-;-;-
"230840 Missão Velha";69;69;-
"230850 Mombaça";53;53;-
"230860 Monsenhor Tabosa";50;50;-
"230870 Morada Nova";151;121;30
"230880 Moraújo";12;12;-
"230890 Morrinhos";21;21;-
"230900 Mucambo";40;40;-
"230910 Mulungu";9;9;-
"230920 Nova Olinda";20;20;-
"230930 Nova Russas";43;43;-
"230940 Novo Oriente";20;20;-
"230945 Ocara";19;19;-
"230950 Orós";37;37;-
"230960 Pacajus";53;53;-
"230970 Pacatuba";19;19;-
"230980 Pacoti";20;20;-
"230990 Pacujá";-;-;-
"231000 Palhano";9;9;-
"231010 Palmácia";16;16;-
"231020 Paracuru";41;39;2
"231025 Paraipaba";25;25;-
"231030 Parambu";43;43;-
"231040 Paramoti";28;28;-
"231050 Pedra Branca";51;51;-
"231060 Penaforte";12;12;-
"231070 Pentecoste";51;51;-
"231080 Pereiro";25;25;-
"231085 Pindoretama";14;14;-
"231090 Piquet Carneiro";22;22;-
"231095 Pires Ferreira";-;-;-
"231100 Poranga";21;21;-
"231110 Porteiras";22;22;-
"231120 Potengi";18;18;-
"231123 Potiretama";13;13;-
"231126 Quiterianópolis";17;17;-
"231130 Quixadá";99;92;7
"231135 Quixelô";24;24;-
"231140 Quixeramobim";310;310;-
"231150 Quixeré";25;25;-
"231160 Redenção";50;50;-
"231170 Reriutaba";26;26;-
"231180 Russas";239;180;59
"231190 Saboeiro";37;37;-
"231195 Salitre";14;14;-
"231220 Santa Quitéria";46;46;-
"231200 Santana do Acaraú";40;40;-
"231210 Santana do Cariri";21;21;-
"231230 São Benedito";42;28;14
"231240 São Gonçalo do Amarante";42;42;-
"231250 São João do Jaguaribe";-;-;-
"231260 São Luís do Curu";20;20;-
"231270 Senador Pompeu";53;53;-
"231280 Senador Sá";-;-;-
"231290 Sobral";821;761;60
"231300 Solonópole";26;26;-
"231310 Tabuleiro do Norte";62;55;7
"231320 Tamboril";39;39;-
"231325 Tarrafas";16;16;-
"231330 Tauá";131;130;1
"231335 Tejuçuoca";16;16;-
"231340 Tianguá";112;112;-
"231350 Trairi";13;13;-
"231355 Tururu";13;13;-
"231360 Ubajara";24;24;-
"231370 Umari";20;20;-
"231375 Umirim";13;13;-
"231380 Uruburetama";25;25;-
"231390 Uruoca";16;16;-
"231395 Varjota";19;19;-
"231400 Várzea Alegre";57;53;4
"231410 Viçosa do Ceará";69;69;-
"230000 Município ignorado - CE";-;-;-
"240010 Acari";40;34;6
"240020 Açu";46;42;4
"240030 Afonso Bezerra";-;-;-
"240040 Água Nova";-;-;-
"240050 Alexandria";124;124;-
"240060 Almino Afonso";50;50;-
"240070 Alto do Rodrigues";21;21;-
"240080 Angicos";28;28;-
"240090 Antônio Martins";32;32;-
"240100 Apodi";60;60;-
"240110 Areia Branca";34;34;-
"240120 Arês";26;24;2
"240130 Augusto Severo";-;-;-
"240140 Baía Formosa";9;9;-
"240145 Baraúna";21;21;-
"240150 Barcelona";12;12;-
"240160 Bento Fernandes";15;15;-
"240165 Bodó";-;-;-
"240170 Bom Jesus";10;10;-
"240180 Brejinho";14;14;-
"240185 Caiçara do Norte";-;-;-
"240190 Caiçara do Rio do Vento";8;8;-
"240200 Caicó";184;146;38
"240210 Campo Redondo";8;8;-
"240220 Canguaretama";-;-;-
"240230 Caraúbas";32;32;-
"240240 Carnaúba dos Dantas";33;33;-
"240250 Carnaubais";21;21;-
"240260 Ceará-Mirim";39;39;-
"240270 Cerro Corá";24;24;-
"240280 Coronel Ezequiel";12;12;-
"240290 Coronel João Pessoa";9;9;-
"240300 Cruzeta";12;12;-
"240310 Currais Novos";114;98;16
"240320 Doutor Severiano";12;12;-
"240330 Encanto";18;18;-
"240340 Equador";20;20;-
"240350 Espírito Santo";-;-;-
"240360 Extremoz";26;26;-
"240370 Felipe Guerra";15;15;-
"240375 Fernando Pedroza";-;-;-
"240380 Florânia";-;-;-
"240390 Francisco Dantas";-;-;-
"240400 Frutuoso Gomes";28;28;-
"240410 Galinhos";-;-;-
"240420 Goianinha";14;14;-
"240430 Governador Dix-Sept Rosado";12;12;-
"240440 Grossos";13;13;-
"240450 Guamaré";27;27;-
"240460 Ielmo Marinho";1;1;-
"240470 Ipanguaçu";-;-;-
"240480 Ipueira";-;-;-
"240485 Itajá";-;-;-
"240490 Itaú";15;15;-
"240500 Jaçanã";17;17;-
"240510 Jandaíra";3;3;-
"240520 Janduís";20;20;-
"240530 Januário Cicco";18;18;-
"240540 Japi";1;1;-
"240550 Jardim de Angicos";3;3;-
"240560 Jardim de Piranhas";25;25;-
"240570 Jardim do Seridó";33;33;-
"240580 João Câmara";34;34;-
"240590 João Dias";2;2;-
"240600 José da Penha";21;21;-
"240610 Jucurutu";48;48;-
"240615 Jundiá";-;-;-
"240620 Lagoa d'Anta";10;10;-
"240630 Lagoa de Pedras";-;-;-
"240640 Lagoa de Velhos";8;8;-
"240650 Lagoa Nova";24;24;-
"240660 Lagoa Salgada";-;-;-
"240670 Lajes";31;31;-
"240680 Lajes Pintadas";8;8;-
"240690 Lucrécia";12;12;-
"240700 Luís Gomes";30;30;-
"240710 Macaíba";55;51;4
"240720 Macau";44;44;-
"240725 Major Sales";12;12;-
"240730 Marcelino Vieira";-;-;-
"240740 Martins";30;30;-
"240750 Maxaranguape";-;-;-
"240760 Messias Targino";16;16;-
"240770 Montanhas";19;19;-
"240780 Monte Alegre";21;21;-
"240790 Monte das Gameleiras";13;13;-
"240800 Mossoró";743;574;169
"240810 Natal";3066;2146;920
"240820 Nísia Floresta";24;-;24
"240830 Nova Cruz";38;38;-
"240840 Olho-d'Água do Borges";14;14;-
"240850 Ouro Branco";-;-;-
"240860 Paraná";8;8;-
"240870 Paraú";-;-;-
"240880 Parazinho";6;6;-
"240890 Parelhas";55;50;5
"240325 Parnamirim";143;129;14
"240910 Passa e Fica";30;30;-
"240920 Passagem";-;-;-
"240930 Patu";45;40;5
"240940 Pau dos Ferros";154;118;36
"240950 Pedra Grande";-;-;-
"240960 Pedra Preta";4;4;-
"240970 Pedro Avelino";-;-;-
"240980 Pedro Velho";11;11;-
"240990 Pendências";13;13;-
"241000 Pilões";10;10;-
"241010 Poço Branco";30;30;-
"241020 Portalegre";31;31;-
"241025 Porto do Mangue";2;2;-
"241040 Pureza";-;-;-
"241050 Rafael Fernandes";8;8;-
"241060 Rafael Godeiro";19;19;-
"241070 Riacho da Cruz";17;17;-
"241080 Riacho de Santana";-;-;-
"241090 Riachuelo";12;12;-
"240895 Rio do Fogo";8;8;-
"241100 Rodolfo Fernandes";18;18;-
"241110 Ruy Barbosa";13;13;-
"241120 Santa Cruz";151;146;5
"240933 Santa Maria";-;-;-
"241140 Santana do Matos";25;25;-
"241142 Santana do Seridó";13;13;-
"241150 Santo Antônio";40;40;-
"241160 São Bento do Norte";-;-;-
"241170 São Bento do Trairí";10;10;-
"241180 São Fernando";-;-;-
"241190 São Francisco do Oeste";-;-;-
"241200 São Gonçalo do Amarante";64;64;-
"241210 São João do Sabugi";8;8;-
"241220 São José de Mipibu";98;58;40
"241230 São José do Campestre";16;16;-
"241240 São José do Seridó";12;12;-
"241250 São Miguel";91;91;-
"241255 São Miguel do Gostoso";7;7;-
"241260 São Paulo do Potengi";40;36;4
"241270 São Pedro";4;4;-
"241280 São Rafael";19;19;-
"241290 São Tomé";14;14;-
"241300 São Vicente";14;14;-
"241310 Senador Elói de Souza";7;7;-
"241320 Senador Georgino Avelino";-;-;-
"241030 Serra Caiada";22;22;-
"241330 Serra de São Bento";12;12;-
"241335 Serra do Mel";17;17;-
"241340 Serra Negra do Norte";22;22;-
"241350 Serrinha";-;-;-
"241355 Serrinha dos Pintos";13;13;-
"241360 Severiano Melo";15;15;-
"241370 Sítio Novo";12;12;-
"241380 Taboleiro Grande";14;14;-
"241390 Taipu";6;6;-
"241400 Tangará";17;17;-
"241410 Tenente Ananias";27;27;-
"241415 Tenente Laurentino Cruz";3;3;-
"241105 Tibau";14;14;-
"241420 Tibau do Sul";15;15;-
"241430 Timbaúba dos Batistas";-;-;-
"241440 Touros";30;30;-
"241445 Triunfo Potiguar";12;12;-
"241450 Umarizal";-;-;-
"241460 Upanema";13;13;-
"241470 Várzea";-;-;-
"241475 Venha-Ver";8;8;-
"241480 Vera Cruz";12;12;-
"241490 Viçosa";15;15;-
"241500 Vila Flor";21;21;-
"240000 Município ignorado - RN";-;-;-
"250010 Água Branca";20;20;-
"250020 Aguiar";12;12;-
"250030 Alagoa Grande";46;46;-
"250040 Alagoa Nova";28;28;-
"250050 Alagoinha";-;-;-
"250053 Alcantil";-;-;-
"250057 Algodão de Jandaíra";-;-;-
"250060 Alhandra";15;15;-
"250073 Amparo";-;-;-
"250077 Aparecida";-;-;-
"250080 Araçagi";-;-;-
"250090 Arara";17;17;-
"250100 Araruna";-;-;-
"250110 Areia";36;36;-
"250115 Areia de Baraúnas";-;-;-
"250120 Areial";-;-;-
"250130 Aroeiras";40;40;-
"250135 Assunção";-;-;-
"250140 Baía da Traição";-;-;-
"250150 Bananeiras";37;37;-
"250153 Baraúna";-;-;-
"250160 Barra de Santa Rosa";-;-;-
"250157 Barra de Santana";-;-;-
"250170 Barra de São Miguel";-;-;-
"250180 Bayeux";48;48;-
"250190 Belém";25;25;-
"250200 Belém do Brejo do Cruz";31;28;3
"250205 Bernardino Batista";-;-;-
"250210 Boa Ventura";3;-;3
"250215 Boa Vista";-;-;-
"250220 Bom Jesus";-;-;-
"250230 Bom Sucesso";16;16;-
"250240 Bonito de Santa Fé";19;19;-
"250250 Boqueirão";43;43;-
"250270 Borborema";-;-;-
"250280 Brejo do Cruz";25;25;-
"250290 Brejo dos Santos";18;18;-
"250300 Caaporã";38;38;-
"250310 Cabaceiras";-;-;-
"250320 Cabedelo";35;35;-
"250330 Cachoeira dos Índios";-;-;-
"250340 Cacimba de Areia";5;5;-
"250350 Cacimba de Dentro";22;22;-
"250355 Cacimbas";-;-;-
"250360 Caiçara";-;-;-
"250370 Cajazeiras";221;159;62
"250375 Cajazeirinhas";-;-;-
"250380 Caldas Brandão";-;-;-
"250390 Camalaú";-;-;-
"250400 Campina Grande";1569;1196;373
"250403 Capim";-;-;-
"250407 Caraúbas";-;-;-
"250410 Carrapateira";-;-;-
"250415 Casserengue";-;-;-
"250420 Catingueira";-;-;-
"250430 Catolé do Rocha";64;64;-
"250435 Caturité";-;-;-
"250440 Conceição";58;58;-
"250450 Condado";-;-;-
"250460 Conde";60;-;60
"250470 Congo";-;-;-
"250480 Coremas";39;39;-
"250485 Coxixola";-;-;-
"250490 Cruz do Espírito Santo";-;-;-
"250500 Cubati";16;16;-
"250510 Cuité";67;67;-
"250523 Cuité de Mamanguape";-;-;-
"250520 Cuitegi";-;-;-
"250527 Curral de Cima";-;-;-
"250530 Curral Velho";-;-;-
"250535 Damião";-;-;-
"250540 Desterro";-;-;-
"250560 Diamante";-;-;-
"250570 Dona Inês";12;12;-
"250580 Duas Estradas";-;-;-
"250590 Emas";-;-;-
"250600 Esperança";26;26;-
"250610 Fagundes";-;-;-
"250620 Frei Martinho";18;18;-
"250625 Gado Bravo";-;-;-
"250630 Guarabira";207;110;97
"250640 Gurinhém";-;-;-
"250650 Gurjão";4;4;-
"250660 Ibiara";12;12;-
"250260 Igaracy";-;-;-
"250670 Imaculada";-;-;-
"250680 Ingá";10;10;-
"250690 Itabaiana";41;41;-
"250700 Itaporanga";48;48;-
"250710 Itapororoca";18;18;-
"250720 Itatuba";-;-;-
"250730 Jacaraú";8;8;-
"250740 Jericó";12;12;-
"250750 João Pessoa";2794;1849;945
"251365 Joca Claudino";-;-;-
"250760 Juarez Távora";-;-;-
"250770 Juazeirinho";18;18;-
"250780 Junco do Seridó";-;-;-
"250790 Juripiranga";12;12;-
"250800 Juru";11;11;-
"250810 Lagoa";-;-;-
"250820 Lagoa de Dentro";19;19;-
"250830 Lagoa Seca";28;28;-
"250840 Lastro";10;10;-
"250850 Livramento";-;-;-
"250855 Logradouro";-;-;-
"250860 Lucena";2;2;-
"250870 Mãe d'Água";-;-;-
"250880 Malta";-;-;-
"250890 Mamanguape";104;104;-
"250900 Manaíra";-;-;-
"250905 Marcação";-;-;-
"250910 Mari";6;6;-
"250915 Marizópolis";-;-;-
"250920 Massaranduba";51;51;-
"250930 Mataraca";-;-;-
"250933 Matinhas";-;-;-
"250937 Mato Grosso";-;-;-
"250939 Maturéia";-;-;-
"250940 Mogeiro";-;-;-
"250950 Montadas";-;-;-
"250960 Monte Horebe";-;-;-
"250970 Monteiro";77;63;14
"250980 Mulungu";-;-;-
"250990 Natuba";19;19;-
"251000 Nazarezinho";-;-;-
"251010 Nova Floresta";19;19;-
"251020 Nova Olinda";22;22;-
"251030 Nova Palmeira";-;-;-
"251040 Olho d'Água";1;1;-
"251050 Olivedos";-;-;-
"251060 Ouro Velho";-;-;-
"251065 Parari";-;-;-
"251070 Passagem";-;-;-
"251080 Patos";319;274;45
"251090 Paulista";26;26;-
"251100 Pedra Branca";-;-;-
"251110 Pedra Lavrada";20;20;-
"251120 Pedras de Fogo";47;47;-
"251272 Pedro Régis";-;-;-
"251130 Piancó";86;78;8
"251140 Picuí";100;100;-
"251150 Pilar";19;18;1
"251160 Pilões";-;-;-
"251170 Pilõezinhos";-;-;-
"251180 Pirpirituba";-;-;-
"251190 Pitimbu";-;-;-
"251200 Pocinhos";57;57;-
"251203 Poço Dantas";-;-;-
"251207 Poço de José de Moura";-;-;-
"251210 Pombal";94;94;-
"251220 Prata";-;-;-
"251230 Princesa Isabel";55;51;4
"251240 Puxinanã";-;-;-
"251250 Queimadas";36;36;-
"251260 Quixabá";-;-;-
"251270 Remígio";-;-;-
"251274 Riachão";-;-;-
"251275 Riachão do Bacamarte";-;-;-
"251276 Riachão do Poço";-;-;-
"251278 Riacho de Santo Antônio";-;-;-
"251280 Riacho dos Cavalos";8;8;-
"251290 Rio Tinto";-;-;-
"251300 Salgadinho";-;-;-
"251310 Salgado de São Félix";-;-;-
"251315 Santa Cecília";-;-;-
"251320 Santa Cruz";13;13;-
"251330 Santa Helena";-;-;-
"251335 Santa Inês";10;10;-
"251340 Santa Luzia";36;36;-
"251370 Santa Rita";163;149;14
"251380 Santa Teresinha";-;-;-
"251350 Santana de Mangueira";-;-;-
"251360 Santana dos Garrotes";-;-;-
"251385 Santo André";6;6;-
"251392 São Bentinho";-;-;-
"251390 São Bento";47;47;-
"251396 São Domingos";-;-;-
"251394 São Domingos do Cariri";-;-;-
"251398 São Francisco";-;-;-
"251400 São João do Cariri";-;-;-
"250070 São João do Rio do Peixe";28;28;-
"251410 São João do Tigre";-;-;-
"251420 São José da Lagoa Tapada";3;3;-
"251430 São José de Caiana";15;15;-
"251440 São José de Espinharas";-;-;-
"251450 São José de Piranhas";17;17;-
"251455 São José de Princesa";-;-;-
"251460 São José do Bonfim";-;-;-
"251465 São José do Brejo do Cruz";-;-;-
"251470 São José do Sabugi";4;4;-
"251480 São José dos Cordeiros";-;-;-
"251445 São José dos Ramos";-;-;-
"251490 São Mamede";26;26;-
"251500 São Miguel de Taipu";-;-;-
"251510 São Sebastião de Lagoa de Roça";-;-;-
"251520 São Sebastião do Umbuzeiro";-;-;-
"251540 São Vicente do Seridó";24;24;-
"251530 Sapé";78;78;-
"251550 Serra Branca";58;58;-
"251560 Serra da Raiz";-;-;-
"251570 Serra Grande";12;12;-
"251580 Serra Redonda";-;-;-
"251590 Serraria";7;7;-
"251593 Sertãozinho";-;-;-
"251597 Sobrado";-;-;-
"251600 Solânea";34;34;-
"251610 Soledade";22;22;-
"251615 Sossêgo";-;-;-
"251620 Sousa";217;124;93
"251630 Sumé";41;41;-
"251640 Tacima";-;-;-
"251650 Taperoá";52;52;-
"251660 Tavares";23;23;-
"251670 Teixeira";39;39;-
"251675 Tenório";-;-;-
"251680 Triunfo";-;-;-
"251690 Uiraúna";47;47;-
"251700 Umbuzeiro";-;-;-
"251710 Várzea";-;-;-
"251720 Vieirópolis";-;-;-
"250550 Vista Serrana";-;-;-
"251740 Zabelê";-;-;-
"250000 Município ignorado - PB";-;-;-
"260005 Abreu e Lima";294;52;242
"260010 Afogados da Ingazeira";181;155;26
"260020 Afrânio";45;45;-
"260030 Agrestina";123;76;47
"260040 Água Preta";50;50;-
"260050 Águas Belas";30;30;-
"260060 Alagoinha";11;11;-
"260070 Aliança";26;26;-
"260080 Altinho";18;18;-
"260090 Amaraji";31;31;-
"260100 Angelim";12;12;-
"260105 Araçoiaba";3;3;-
"260110 Araripina";211;178;33
"260120 Arcoverde";144;100;44
"260130 Barra de Guabiraba";11;11;-
"260140 Barreiros";129;129;-
"260150 Belém de Maria";9;9;-
"260160 Belém do São Francisco";24;24;-
"260170 Belo Jardim";95;59;36
"260180 Betânia";10;10;-
"260190 Bezerros";141;107;34
"260200 Bodocó";16;16;-
"260210 Bom Conselho";46;46;-
"260220 Bom Jardim";33;33;-
"260230 Bonito";52;52;-
"260240 Brejão";14;14;-
"260250 Brejinho";7;7;-
"260260 Brejo da Madre de Deus";31;31;-
"260270 Buenos Aires";17;17;-
"260280 Buíque";76;76;-
"260290 Cabo de Santo Agostinho";421;237;184
"260300 Cabrobó";74;74;-
"260310 Cachoeirinha";16;16;-
"260320 Caetés";20;20;-
"260330 Calçado";11;11;-
"260340 Calumbi";17;17;-
"260345 Camaragibe";284;64;220
"260350 Camocim de São Félix";14;14;-
"260360 Camutanga";7;7;-
"260370 Canhotinho";32;32;-
"260380 Capoeiras";25;25;-
"260390 Carnaíba";15;15;-
"260392 Carnaubeira da Penha";11;11;-
"260400 Carpina";116;114;2
"260410 Caruaru";891;674;217
"260415 Casinhas";28;28;-
"260420 Catende";27;27;-
"260430 Cedro";18;18;-
"260440 Chã de Alegria";19;19;-
"260450 Chã Grande";40;38;2
"260460 Condado";21;21;-
"260470 Correntes";23;23;-
"260480 Cortês";39;39;-
"260490 Cumaru";19;19;-
"260500 Cupira";20;20;-
"260510 Custódia";76;38;38
"260515 Dormentes";27;27;-
"260520 Escada";83;51;32
"260530 Exu";33;33;-
"260540 Feira Nova";17;17;-
"260545 Fernando de Noronha";10;10;-
"260550 Ferreiros";7;7;-
"260560 Flores";22;22;-
"260570 Floresta";71;61;10
"260580 Frei Miguelinho";11;11;-
"260590 Gameleira";23;23;-
"260600 Garanhuns";333;239;94
"260610 Glória do Goitá";24;24;-
"260620 Goiana";141;98;43
"260630 Granito";19;19;-
"260640 Gravatá";98;56;42
"260650 Iati";22;22;-
"260660 Ibimirim";19;19;-
"260670 Ibirajuba";16;16;-
"260680 Igarassu";342;98;244
