"Município";"Leitos Repouso/Observação Ped";"Leitos Repouso/Observação Fem";"Leitos Repouso/Observação Masc";"Leitos Repouso/Observação Indif"
"220050 Amarante";-;-;-;1
"220060 Angical do Piauí";-;-;-;-
"220070 Anísio de Abreu";-;-;-;-
"220080 Antônio Almeida";-;-;-;-
"220090 Aroazes";-;-;-;-
"220095 Aroeiras do Itaim";-;-;-;-
"220100 Arraial";-;-;-;-
"220105 Assunção do Piauí";-;-;-;-
"220110 Avelino Lopes";-;-;-;-
"220115 Baixa Grande do Ribeiro";-;-;-;-
"220117 Barra D'Alcântara";-;-;-;-
"220120 Barras";-;-;-;1
"220130 Barreiras do Piauí";-;-;-;-
"220140 Barro Duro";-;-;-;-
"220150 Batalha";-;-;-;-
"220155 Bela Vista do Piauí";-;-;-;-
"220157 Belém do Piauí";-;-;-;-
"220160 Beneditinos";-;-;-;-
"220170 Bertolínia";-;-;-;1
"220173 Betânia do Piauí";-;-;-;-
"220177 Boa Hora";-;-;-;-
"220180 Bocaina";-;-;-;3
"220190 Bom Jesus";-;-;-;-
"220191 Bom Princípio do Piauí";-;-;-;-
"220192 Bonfim do Piauí";-;-;-;-
"220194 Boqueirão do Piauí";-;-;-;-
"220196 Brasileira";-;-;-;-
"220198 Brejo do Piauí";-;-;-;-
"220200 Buriti dos Lopes";4;4;4;-
"220202 Buriti dos Montes";-;-;-;-
"220205 Cabeceiras do Piauí";-;-;-;-
"220207 Cajazeiras do Piauí";-;-;-;-
"220208 Cajueiro da Praia";-;-;-;-
"220209 Caldeirão Grande do Piauí";-;-;-;-
"220210 Campinas do Piauí";-;-;-;-
"220211 Campo Alegre do Fidalgo";-;-;-;-
"220213 Campo Grande do Piauí";-;-;-;-
"220217 Campo Largo do Piauí";-;-;-;-
"220220 Campo Maior";7;6;4;35
"220225 Canavieira";1;-;-;2
"220230 Canto do Buriti";-;-;-;-
"220240 Capitão de Campos";-;-;-;-
"220245 Capitão Gervásio Oliveira";-;-;-;-
"220250 Caracol";-;-;-;-
"220253 Caraúbas do Piauí";-;-;-;-
"220255 Caridade do Piauí";-;-;-;-
"220260 Castelo do Piauí";-;-;-;-
"220265 Caxingó";-;-;-;-
"220270 Cocal";-;-;-;-
"220271 Cocal de Telha";-;-;-;-
"220272 Cocal dos Alves";-;3;3;-
"220273 Coivaras";-;-;-;-
"220275 Colônia do Gurguéia";-;-;-;-
"220277 Colônia do Piauí";-;-;-;-
"220280 Conceição do Canindé";-;-;-;-
"220285 Coronel José Dias";-;-;-;-
"220290 Corrente";-;-;-;-
"220300 Cristalândia do Piauí";-;-;-;1
"220310 Cristino Castro";-;-;-;-
"220320 Curimatá";-;-;-;-
"220323 Currais";-;-;-;-
"220327 Curral Novo do Piauí";-;-;-;-
"220325 Curralinhos";-;-;-;-
"220330 Demerval Lobão";-;-;-;-
"220335 Dirceu Arcoverde";-;-;-;-
"220340 Dom Expedito Lopes";-;-;-;-
"220345 Dom Inocêncio";-;-;-;-
"220342 Domingos Mourão";-;-;-;-
"220350 Elesbão Veloso";-;-;-;3
"220360 Eliseu Martins";-;-;-;-
"220370 Esperantina";-;-;-;-
"220375 Fartura do Piauí";-;-;-;-
"220380 Flores do Piauí";-;-;-;-
"220385 Floresta do Piauí";-;-;-;-
"220390 Floriano";-;4;8;14
"220400 Francinópolis";-;-;-;-
"220410 Francisco Ayres";-;-;-;-
"220415 Francisco Macedo";-;-;-;-
"220420 Francisco Santos";-;-;-;-
"220430 Fronteiras";-;-;-;-
"220435 Geminiano";-;-;-;-
"220440 Gilbués";-;-;-;-
"220450 Guadalupe";-;-;-;-
"220455 Guaribas";-;-;-;-
"220460 Hugo Napoleão";-;-;-;-
"220465 Ilha Grande";-;-;-;-
"220470 Inhuma";-;-;-;-
"220480 Ipiranga do Piauí";-;-;-;-
"220490 Isaías Coelho";-;-;-;-
"220500 Itainópolis";-;-;-;-
"220510 Itaueira";-;-;-;-
"220515 Jacobina do Piauí";-;-;-;-
"220520 Jaicós";-;2;2;-
"220525 Jardim do Mulato";-;-;-;-
"220527 Jatobá do Piauí";-;-;-;-
"220530 Jerumenha";-;-;-;-
"220535 João Costa";-;-;-;-
"220540 Joaquim Pires";-;-;-;-
"220545 Joca Marques";-;-;-;-
"220550 José de Freitas";-;-;-;3
"220551 Juazeiro do Piauí";-;-;-;-
"220552 Júlio Borges";-;-;-;-
"220553 Jurema";-;-;-;2
"220555 Lagoa Alegre";-;-;-;-
"220557 Lagoa de São Francisco";-;-;-;-
"220556 Lagoa do Barro do Piauí";-;-;-;-
"220558 Lagoa do Piauí";-;-;-;-
"220559 Lagoa do Sítio";-;-;-;-
"220554 Lagoinha do Piauí";-;-;-;-
"220560 Landri Sales";5;-;-;2
"220570 Luís Correia";-;-;-;6
"220580 Luzilândia";-;-;-;-
"220585 Madeiro";-;-;-;-
"220590 Manoel Emídio";-;-;-;2
"220595 Marcolândia";-;-;-;-
"220600 Marcos Parente";-;-;-;-
"220605 Massapê do Piauí";-;-;-;-
"220610 Matias Olímpio";-;-;-;-
"220620 Miguel Alves";-;-;-;-
"220630 Miguel Leão";-;-;-;-
"220635 Milton Brandão";-;-;-;-
"220640 Monsenhor Gil";-;-;-;-
"220650 Monsenhor Hipólito";-;-;-;-
"220660 Monte Alegre do Piauí";-;-;-;-
"220665 Morro Cabeça no Tempo";-;-;-;-
"220667 Morro do Chapéu do Piauí";-;-;-;-
"220669 Murici dos Portelas";-;-;-;-
"220670 Nazaré do Piauí";-;-;-;-
"220672 Nazária";-;-;-;-
"220675 Nossa Senhora de Nazaré";-;-;-;-
"220680 Nossa Senhora dos Remédios";-;-;-;-
"220795 Nova Santa Rita";-;-;-;-
"220690 Novo Oriente do Piauí";-;-;-;-
"220695 Novo Santo Antônio";-;-;-;-
"220700 Oeiras";-;-;-;9
"220710 Olho D'Água do Piauí";-;-;-;-
"220720 Padre Marcos";-;-;-;2
"220730 Paes Landim";-;-;-;-
"220735 Pajeú do Piauí";-;-;-;-
"220740 Palmeira do Piauí";-;-;-;-
"220750 Palmeirais";-;-;-;-
"220755 Paquetá";-;-;-;-
"220760 Parnaguá";-;-;-;-
"220770 Parnaíba";3;12;7;13
"220775 Passagem Franca do Piauí";-;-;-;-
"220777 Patos do Piauí";-;-;-;-
"220779 Pau D'Arco do Piauí";-;-;-;-
"220780 Paulistana";4;5;4;6
"220785 Pavussu";-;-;-;-
"220790 Pedro II";-;2;-;-
"220793 Pedro Laurentino";-;-;-;-
"220800 Picos";10;3;3;15
"220810 Pimenteiras";-;-;-;-
"220820 Pio IX";-;-;-;6
"220830 Piracuruca";3;3;3;-
"220840 Piripiri";-;-;-;12
"220850 Porto";-;-;-;-
"220855 Porto Alegre do Piauí";-;-;-;-
"220860 Prata do Piauí";4;3;3;1
"220865 Queimada Nova";-;-;-;-
"220870 Redenção do Gurguéia";-;-;-;-
"220880 Regeneração";-;-;-;-
"220885 Riacho Frio";-;-;-;-
"220887 Ribeira do Piauí";-;-;-;-
"220890 Ribeiro Gonçalves";-;-;-;-
"220900 Rio Grande do Piauí";-;-;-;-
"220910 Santa Cruz do Piauí";-;-;-;1
"220915 Santa Cruz dos Milagres";-;-;-;-
"220920 Santa Filomena";-;-;-;-
"220930 Santa Luz";-;-;-;-
"220937 Santa Rosa do Piauí";-;-;-;-
"220935 Santana do Piauí";-;-;-;-
"220940 Santo Antônio de Lisboa";-;-;-;-
"220945 Santo Antônio dos Milagres";-;-;-;-
"220950 Santo Inácio do Piauí";-;-;-;-
"220955 São Braz do Piauí";-;-;-;1
"220960 São Félix do Piauí";-;-;-;-
"220965 São Francisco de Assis do Piauí";-;-;-;-
"220970 São Francisco do Piauí";-;-;-;-
"220975 São Gonçalo do Gurguéia";-;-;-;-
"220980 São Gonçalo do Piauí";-;-;-;-
"220985 São João da Canabrava";-;-;-;-
"220987 São João da Fronteira";-;-;-;-
"220990 São João da Serra";-;-;-;-
"220995 São João da Varjota";-;-;-;-
"220997 São João do Arraial";-;-;-;-
"221000 São João do Piauí";5;4;3;13
"221005 São José do Divino";-;-;-;-
"221010 São José do Peixe";-;-;-;1
"221020 São José do Piauí";-;-;-;-
"221030 São Julião";3;9;3;-
"221035 São Lourenço do Piauí";-;-;-;-
"221037 São Luis do Piauí";-;-;-;-
"221038 São Miguel da Baixa Grande";-;-;-;-
"221039 São Miguel do Fidalgo";-;-;-;-
"221040 São Miguel do Tapuio";-;-;-;-
"221050 São Pedro do Piauí";-;-;-;-
"221060 São Raimundo Nonato";4;-;-;8
"221062 Sebastião Barros";-;-;-;-
"221063 Sebastião Leal";-;-;-;-
"221065 Sigefredo Pacheco";-;-;-;-
"221070 Simões";-;-;-;-
"221080 Simplício Mendes";-;-;-;-
"221090 Socorro do Piauí";-;-;-;-
"221093 Sussuapara";-;-;-;-
"221095 Tamboril do Piauí";-;-;-;-
"221097 Tanque do Piauí";-;-;-;-
"221100 Teresina";34;22;18;54
"221110 União";-;-;-;-
"221120 Uruçuí";-;-;-;-
"221130 Valença do Piauí";-;-;-;-
"221135 Várzea Branca";-;-;-;-
"221140 Várzea Grande";-;-;-;-
"221150 Vera Mendes";-;-;-;-
"221160 Vila Nova do Piauí";-;-;-;-
"221170 Wall Ferraz";-;-;-;-
"220000 Município ignorado - PI";-;-;-;-
"230010 Abaiara";-;-;-;-
"230015 Acarape";-;2;2;-
"230020 Acaraú";-;2;3;-
"230030 Acopiara";-;-;-;-
"230040 Aiuaba";-;-;5;-
"230050 Alcântaras";-;-;-;-
"230060 Altaneira";-;-;-;-
"230070 Alto Santo";-;-;-;-
"230075 Amontada";2;2;2;-
"230080 Antonina do Norte";-;-;-;-
"230090 Apuiarés";-;3;3;-
"230100 Aquiraz";-;-;22;3
"230110 Aracati";4;12;8;6
"230120 Aracoiaba";-;1;1;-
"230125 Ararendá";-;-;-;-
"230130 Araripe";-;-;-;-
"230140 Aratuba";-;-;-;2
"230150 Arneiroz";-;-;-;-
"230160 Assaré";-;-;-;1
"230170 Aurora";2;-;2;-
"230180 Baixio";-;-;-;-
"230185 Banabuiú";-;-;-;2
"230190 Barbalha";11;10;9;7
"230195 Barreira";-;2;-;2
"230200 Barro";-;-;-;-
"230205 Barroquinha";-;-;-;-
"230210 Baturité";2;4;5;2
"230220 Beberibe";-;-;1;18
"230230 Bela Cruz";-;-;1;-
"230240 Boa Viagem";-;-;1;-
"230250 Brejo Santo";5;-;-;3
"230260 Camocim";1;4;5;8
"230270 Campos Sales";-;4;4;3
"230280 Canindé";6;4;5;8
"230290 Capistrano";-;-;-;-
"230300 Caridade";-;-;-;5
"230310 Cariré";-;-;-;3
"230320 Caririaçu";-;-;-;1
"230330 Cariús";-;-;-;-
"230340 Carnaubal";1;1;1;3
"230350 Cascavel";2;2;2;2
"230360 Catarina";-;-;-;-
"230365 Catunda";-;-;-;-
"230370 Caucaia";18;6;-;20
"230380 Cedro";-;-;-;-
"230390 Chaval";-;-;-;-
"230393 Choró";-;2;2;2
"230395 Chorozinho";-;-;-;2
"230400 Coreaú";-;-;-;-
"230410 Crateús";8;7;8;3
"230420 Crato";-;5;5;7
"230423 Croatá";-;-;-;3
"230425 Cruz";2;2;2;-
"230426 Deputado Irapuan Pinheiro";1;1;1;-
"230427 Ererê";-;-;-;-
"230428 Eusébio";5;9;5;-
"230430 Farias Brito";-;2;2;-
"230435 Forquilha";-;6;5;-
"230440 Fortaleza";153;77;64;434
"230445 Fortim";-;-;-;-
"230450 Frecheirinha";-;-;-;-
"230460 General Sampaio";-;-;-;-
"230465 Graça";-;-;-;2
"230470 Granja";2;1;1;7
"230480 Granjeiro";-;-;-;-
"230490 Groaíras";-;-;-;-
"230495 Guaiúba";-;-;-;-
"230500 Guaraciaba do Norte";-;2;2;-
"230510 Guaramiranga";-;-;-;-
"230520 Hidrolândia";2;2;2;-
"230523 Horizonte";4;7;5;4
"230526 Ibaretama";-;-;-;4
"230530 Ibiapina";3;4;3;-
"230533 Ibicuitinga";-;-;-;-
"230535 Icapuí";-;-;-;-
"230540 Icó";-;3;2;3
"230550 Iguatu";9;-;-;27
"230560 Independência";-;-;-;-
"230565 Ipaporanga";-;-;-;2
"230570 Ipaumirim";-;-;-;-
"230580 Ipu";4;2;2;6
"230590 Ipueiras";-;-;-;-
"230600 Iracema";-;-;-;-
"230610 Irauçuba";-;-;-;-
"230620 Itaiçaba";-;-;-;-
"230625 Itaitinga";-;-;16;11
"230630 Itapagé";-;-;-;-
"230640 Itapipoca";6;11;11;3
"230650 Itapiúna";-;-;-;-
"230655 Itarema";7;-;-;2
"230660 Itatira";-;-;-;-
"230670 Jaguaretama";-;-;-;-
"230680 Jaguaribara";2;-;-;2
"230690 Jaguaribe";-;-;-;8
"230700 Jaguaruana";-;-;-;4
"230710 Jardim";-;-;-;4
"230720 Jati";-;-;-;-
"230725 Jijoca de Jericoacoara";-;-;-;-
"230730 Juazeiro do Norte";24;6;6;54
"230740 Jucás";3;4;3;-
"230750 Lavras da Mangabeira";-;-;-;4
"230760 Limoeiro do Norte";4;2;2;40
"230763 Madalena";-;-;2;-
"230765 Maracanaú";14;9;6;11
"230770 Maranguape";6;-;-;9
"230780 Marco";3;2;2;3
"230790 Martinópole";-;-;-;-
"230800 Massapê";-;-;-;-
"230810 Mauriti";-;-;-;-
"230820 Meruoca";-;-;-;-
"230830 Milagres";-;-;-;2
"230835 Milhã";-;6;3;4
"230837 Miraíma";-;-;-;-
"230840 Missão Velha";1;1;1;-
"230850 Mombaça";-;-;-;-
"230860 Monsenhor Tabosa";-;-;-;1
"230870 Morada Nova";1;4;6;-
"230880 Moraújo";-;-;-;-
"230890 Morrinhos";-;-;-;1
"230900 Mucambo";-;-;-;-
"230910 Mulungu";-;-;-;-
"230920 Nova Olinda";-;-;-;-
"230930 Nova Russas";1;1;1;-
"230940 Novo Oriente";-;-;-;5
"230945 Ocara";-;-;-;4
"230950 Orós";3;-;-;2
"230960 Pacajus";2;3;3;-
"230970 Pacatuba";-;-;-;8
"230980 Pacoti";-;-;-;-
"230990 Pacujá";1;1;1;-
"231000 Palhano";-;-;-;-
"231010 Palmácia";-;-;-;2
"231020 Paracuru";5;3;3;-
"231025 Paraipaba";1;1;1;-
"231030 Parambu";-;-;1;3
"231040 Paramoti";-;-;-;-
"231050 Pedra Branca";6;5;5;-
"231060 Penaforte";-;-;-;2
"231070 Pentecoste";-;-;-;6
"231080 Pereiro";-;-;-;-
"231085 Pindoretama";-;-;-;2
"231090 Piquet Carneiro";-;-;-;1
"231095 Pires Ferreira";-;-;-;-
"231100 Poranga";-;-;-;-
"231110 Porteiras";1;-;-;2
"231120 Potengi";-;-;-;-
"231123 Potiretama";-;-;-;-
"231126 Quiterianópolis";-;-;-;2
"231130 Quixadá";11;14;14;1
"231135 Quixelô";-;-;-;-
"231140 Quixeramobim";3;1;1;62
"231150 Quixeré";-;-;-;2
"231160 Redenção";-;-;-;-
"231170 Reriutaba";-;-;-;1
"231180 Russas";3;7;6;7
"231190 Saboeiro";-;-;-;-
"231195 Salitre";-;-;-;-
"231220 Santa Quitéria";-;2;2;-
"231200 Santana do Acaraú";2;-;-;4
"231210 Santana do Cariri";-;-;-;-
"231230 São Benedito";3;3;3;4
"231240 São Gonçalo do Amarante";1;-;-;10
"231250 São João do Jaguaribe";-;-;4;6
"231260 São Luís do Curu";-;3;3;-
"231270 Senador Pompeu";-;3;3;3
"231280 Senador Sá";-;-;-;-
"231290 Sobral";30;7;9;24
"231300 Solonópole";-;-;-;6
"231310 Tabuleiro do Norte";-;-;3;4
"231320 Tamboril";-;-;-;2
"231325 Tarrafas";-;-;-;-
"231330 Tauá";2;-;-;3
"231335 Tejuçuoca";-;-;-;2
"231340 Tianguá";3;-;-;-
"231350 Trairi";-;2;2;-
"231355 Tururu";-;-;-;-
"231360 Ubajara";-;-;-;-
"231370 Umari";-;-;-;-
"231375 Umirim";-;-;-;-
"231380 Uruburetama";-;-;-;-
"231390 Uruoca";-;-;-;-
"231395 Varjota";-;3;3;-
"231400 Várzea Alegre";-;1;1;-
"231410 Viçosa do Ceará";-;-;-;7
"230000 Município ignorado - CE";-;-;-;-
"240010 Acari";-;-;-;-
"240020 Açu";8;6;8;-
"240030 Afonso Bezerra";-;-;-;-
"240040 Água Nova";-;-;-;-
"240050 Alexandria";-;-;-;-
"240060 Almino Afonso";-;-;-;-
"240070 Alto do Rodrigues";-;3;3;-
"240080 Angicos";-;-;-;3
"240090 Antônio Martins";-;-;-;-
"240100 Apodi";4;6;4;-
"240110 Areia Branca";3;4;3;-
"240120 Arês";-;-;-;2
"240130 Augusto Severo";-;-;-;4
"240140 Baía Formosa";1;1;-;3
"240145 Baraúna";-;-;-;-
"240150 Barcelona";-;-;-;-
"240160 Bento Fernandes";-;-;-;-
"240165 Bodó";-;-;-;-
"240170 Bom Jesus";7;10;6;1
"240180 Brejinho";-;-;-;-
"240185 Caiçara do Norte";-;-;-;2
"240190 Caiçara do Rio do Vento";-;-;-;-
"240200 Caicó";-;4;3;8
"240210 Campo Redondo";-;-;-;3
"240220 Canguaretama";-;-;-;-
"240230 Caraúbas";-;-;-;-
"240240 Carnaúba dos Dantas";-;-;-;4
"240250 Carnaubais";-;-;1;-
"240260 Ceará-Mirim";4;3;3;-
"240270 Cerro Corá";-;-;-;-
"240280 Coronel Ezequiel";-;4;4;-
"240290 Coronel João Pessoa";3;3;3;-
"240300 Cruzeta";-;-;-;2
"240310 Currais Novos";-;3;4;-
"240320 Doutor Severiano";-;-;-;-
"240330 Encanto";-;-;-;2
"240340 Equador";-;-;-;-
"240350 Espírito Santo";-;-;-;-
"240360 Extremoz";-;-;-;-
"240370 Felipe Guerra";-;-;-;-
"240375 Fernando Pedroza";1;1;1;-
"240380 Florânia";-;-;-;4
"240390 Francisco Dantas";-;-;-;-
"240400 Frutuoso Gomes";-;-;-;-
"240410 Galinhos";-;-;-;7
"240420 Goianinha";1;-;-;4
"240430 Governador Dix-Sept Rosado";-;-;-;-
"240440 Grossos";-;-;-;1
"240450 Guamaré";4;-;1;3
"240460 Ielmo Marinho";-;-;-;4
"240470 Ipanguaçu";-;-;-;-
"240480 Ipueira";-;-;-;-
"240485 Itajá";-;4;4;-
"240490 Itaú";-;-;-;-
"240500 Jaçanã";-;-;-;-
"240510 Jandaíra";-;1;2;-
"240520 Janduís";-;1;-;2
"240530 Januário Cicco";-;-;-;-
"240540 Japi";-;-;-;4
"240550 Jardim de Angicos";-;1;1;-
"240560 Jardim de Piranhas";-;-;-;-
"240570 Jardim do Seridó";-;-;-;1
"240580 João Câmara";-;-;-;11
"240590 João Dias";-;-;-;-
"240600 José da Penha";-;-;-;1
"240610 Jucurutu";-;-;-;2
"240615 Jundiá";-;-;-;-
"240620 Lagoa d'Anta";-;-;-;-
"240630 Lagoa de Pedras";-;-;-;-
"240640 Lagoa de Velhos";-;-;-;-
"240650 Lagoa Nova";-;-;-;4
"240660 Lagoa Salgada";-;3;2;-
"240670 Lajes";-;-;-;4
"240680 Lajes Pintadas";-;-;-;-
"240690 Lucrécia";-;-;-;2
"240700 Luís Gomes";-;-;-;2
"240710 Macaíba";7;6;2;-
"240720 Macau";6;5;-;-
"240725 Major Sales";-;-;-;-
"240730 Marcelino Vieira";-;-;-;-
"240740 Martins";2;1;1;-
"240750 Maxaranguape";-;-;-;-
"240760 Messias Targino";3;3;4;-
"240770 Montanhas";-;-;-;2
"240780 Monte Alegre";-;-;-;3
"240790 Monte das Gameleiras";-;-;-;-
"240800 Mossoró";15;32;26;23
"240810 Natal";52;41;21;212
"240820 Nísia Floresta";-;-;-;-
"240830 Nova Cruz";4;3;3;-
"240840 Olho-d'Água do Borges";-;-;-;-
"240850 Ouro Branco";-;-;-;-
"240860 Paraná";-;-;-;-
"240870 Paraú";-;-;-;-
"240880 Parazinho";-;-;-;-
"240890 Parelhas";-;-;-;-
"240325 Parnamirim";6;6;8;14
"240910 Passa e Fica";2;-;-;2
"240920 Passagem";-;-;-;-
"240930 Patu";-;-;-;2
"240940 Pau dos Ferros";16;-;-;18
"240950 Pedra Grande";-;-;-;-
"240960 Pedra Preta";-;-;-;-
"240970 Pedro Avelino";-;3;3;-
"240980 Pedro Velho";-;-;-;-
"240990 Pendências";-;-;-;4
"241000 Pilões";3;2;2;7
"241010 Poço Branco";-;-;-;-
"241020 Portalegre";-;-;-;-
"241025 Porto do Mangue";-;-;-;-
"241040 Pureza";-;-;-;-
"241050 Rafael Fernandes";-;-;-;1
"241060 Rafael Godeiro";-;-;-;-
"241070 Riacho da Cruz";-;-;-;1
"241080 Riacho de Santana";-;-;-;-
"241090 Riachuelo";-;-;-;8
"240895 Rio do Fogo";-;-;-;-
"241100 Rodolfo Fernandes";-;-;-;1
"241110 Ruy Barbosa";-;-;-;-
"241120 Santa Cruz";-;4;-;6
"240933 Santa Maria";-;-;-;-
"241140 Santana do Matos";-;-;-;-
"241142 Santana do Seridó";-;-;-;-
"241150 Santo Antônio";5;3;3;-
"241160 São Bento do Norte";-;-;-;-
"241170 São Bento do Trairí";-;-;-;-
"241180 São Fernando";-;-;-;-
"241190 São Francisco do Oeste";-;-;-;-
"241200 São Gonçalo do Amarante";-;-;-;8
"241210 São João do Sabugi";-;-;-;-
"241220 São José de Mipibu";2;9;1;1
"241230 São José do Campestre";-;-;-;2
"241240 São José do Seridó";3;6;3;3
"241250 São Miguel";-;-;-;10
"241255 São Miguel do Gostoso";-;-;-;-
"241260 São Paulo do Potengi";-;-;-;3
"241270 São Pedro";-;-;-;-
"241280 São Rafael";-;-;-;2
"241290 São Tomé";-;2;2;-
"241300 São Vicente";-;-;-;-
"241310 Senador Elói de Souza";-;-;-;-
"241320 Senador Georgino Avelino";-;-;-;-
"241030 Serra Caiada";-;-;-;2
"241330 Serra de São Bento";-;-;-;-
"241335 Serra do Mel";-;-;-;1
"241340 Serra Negra do Norte";-;-;-;1
"241350 Serrinha";-;-;-;-
"241355 Serrinha dos Pintos";-;2;2;-
"241360 Severiano Melo";-;-;-;-
"241370 Sítio Novo";-;-;-;-
"241380 Taboleiro Grande";-;-;-;1
"241390 Taipu";-;-;-;-
"241400 Tangará";-;3;2;-
"241410 Tenente Ananias";-;-;-;-
"241415 Tenente Laurentino Cruz";-;-;-;2
"241105 Tibau";-;-;-;-
"241420 Tibau do Sul";2;3;3;-
"241430 Timbaúba dos Batistas";-;-;-;-
"241440 Touros";-;-;-;4
"241445 Triunfo Potiguar";-;-;-;2
"241450 Umarizal";-;-;-;-
"241460 Upanema";-;-;-;-
"241470 Várzea";-;-;-;-
"241475 Venha-Ver";-;-;-;2
"241480 Vera Cruz";-;-;-;3
"241490 Viçosa";-;3;3;-
"241500 Vila Flor";2;-;-;2
"240000 Município ignorado - RN";-;-;-;-
"250010 Água Branca";-;-;-;4
"250020 Aguiar";-;-;-;-
"250030 Alagoa Grande";-;-;-;3
"250040 Alagoa Nova";-;-;-;-
"250050 Alagoinha";-;-;-;-
"250053 Alcantil";-;-;-;-
"250057 Algodão de Jandaíra";-;-;-;-
"250060 Alhandra";-;-;-;-
"250073 Amparo";-;-;-;-
"250077 Aparecida";-;-;-;-
"250080 Araçagi";-;-;-;-
"250090 Arara";-;-;-;-
"250100 Araruna";3;3;3;-
"250110 Areia";-;-;-;-
"250115 Areia de Baraúnas";-;-;-;-
"250120 Areial";-;-;-;-
"250130 Aroeiras";-;-;-;-
"250135 Assunção";-;-;-;-
"250140 Baía da Traição";-;-;-;-
"250150 Bananeiras";-;2;2;-
"250153 Baraúna";-;-;-;-
"250160 Barra de Santa Rosa";-;-;-;-
"250157 Barra de Santana";3;-;-;3
"250170 Barra de São Miguel";-;-;-;-
"250180 Bayeux";6;8;7;6
"250190 Belém";2;2;2;-
"250200 Belém do Brejo do Cruz";-;-;-;-
"250205 Bernardino Batista";-;-;-;-
"250210 Boa Ventura";-;-;-;-
"250215 Boa Vista";-;-;-;-
"250220 Bom Jesus";-;-;-;-
"250230 Bom Sucesso";-;-;-;-
"250240 Bonito de Santa Fé";-;-;-;-
"250250 Boqueirão";-;-;-;-
"250270 Borborema";-;-;-;-
"250280 Brejo do Cruz";-;-;-;-
"250290 Brejo dos Santos";-;-;-;-
"250300 Caaporã";-;3;3;3
"250310 Cabaceiras";-;-;-;-
"250320 Cabedelo";4;5;2;-
"250330 Cachoeira dos Índios";-;-;-;-
"250340 Cacimba de Areia";-;-;-;-
"250350 Cacimba de Dentro";-;-;-;4
"250355 Cacimbas";-;-;-;-
"250360 Caiçara";-;-;-;-
"250370 Cajazeiras";9;-;-;14
"250375 Cajazeirinhas";-;-;-;-
"250380 Caldas Brandão";-;-;-;-
"250390 Camalaú";-;-;-;-
"250400 Campina Grande";44;28;30;93
"250403 Capim";-;-;-;-
"250407 Caraúbas";-;-;-;-
"250410 Carrapateira";-;-;-;-
"250415 Casserengue";-;-;-;-
"250420 Catingueira";-;-;-;-
"250430 Catolé do Rocha";-;-;-;-
"250435 Caturité";-;-;-;-
"250440 Conceição";11;9;9;-
"250450 Condado";-;-;-;-
"250460 Conde";-;-;-;-
"250470 Congo";-;-;-;-
"250480 Coremas";-;-;-;-
"250485 Coxixola";-;-;-;-
"250490 Cruz do Espírito Santo";-;-;-;-
"250500 Cubati";-;-;-;-
"250510 Cuité";-;-;-;-
"250523 Cuité de Mamanguape";-;-;-;-
"250520 Cuitegi";-;-;-;-
"250527 Curral de Cima";-;-;-;-
"250530 Curral Velho";-;-;-;-
"250535 Damião";-;-;-;-
"250540 Desterro";-;-;-;-
"250560 Diamante";-;-;-;-
"250570 Dona Inês";-;-;-;-
"250580 Duas Estradas";-;-;-;-
"250590 Emas";-;-;-;-
"250600 Esperança";-;1;1;-
"250610 Fagundes";-;2;2;-
"250620 Frei Martinho";-;-;-;2
"250625 Gado Bravo";-;-;-;-
"250630 Guarabira";2;3;3;8
"250640 Gurinhém";-;-;-;-
"250650 Gurjão";-;-;-;-
"250660 Ibiara";2;2;2;2
"250260 Igaracy";-;-;-;-
"250670 Imaculada";-;-;-;-
"250680 Ingá";-;5;5;-
"250690 Itabaiana";2;2;2;-
"250700 Itaporanga";2;3;3;-
"250710 Itapororoca";-;-;-;-
"250720 Itatuba";-;-;-;-
"250730 Jacaraú";-;-;-;-
"250740 Jericó";-;-;-;-
"250750 João Pessoa";45;67;51;114
"251365 Joca Claudino";-;-;-;-
"250760 Juarez Távora";-;-;-;-
"250770 Juazeirinho";-;-;-;3
"250780 Junco do Seridó";-;-;-;-
"250790 Juripiranga";-;-;-;-
"250800 Juru";-;-;-;2
"250810 Lagoa";-;-;-;-
"250820 Lagoa de Dentro";-;-;-;-
"250830 Lagoa Seca";-;-;-;-
"250840 Lastro";-;1;1;1
"250850 Livramento";-;-;-;-
"250855 Logradouro";-;-;-;-
"250860 Lucena";-;-;-;-
"250870 Mãe d'Água";-;-;-;-
"250880 Malta";-;-;-;-
"250890 Mamanguape";2;2;2;-
"250900 Manaíra";-;-;-;-
"250905 Marcação";-;-;-;-
"250910 Mari";-;-;-;-
"250915 Marizópolis";-;-;-;-
"250920 Massaranduba";-;-;3;-
"250930 Mataraca";-;-;-;-
"250933 Matinhas";-;-;-;-
"250937 Mato Grosso";-;-;-;-
"250939 Maturéia";-;-;-;-
"250940 Mogeiro";-;-;-;-
"250950 Montadas";-;-;-;-
"250960 Monte Horebe";-;-;-;-
"250970 Monteiro";3;6;6;2
"250980 Mulungu";-;-;-;-
"250990 Natuba";-;-;-;-
"251000 Nazarezinho";-;-;-;-
"251010 Nova Floresta";-;-;-;-
"251020 Nova Olinda";-;-;-;-
"251030 Nova Palmeira";-;-;-;-
"251040 Olho d'Água";-;-;-;3
"251050 Olivedos";-;-;-;-
"251060 Ouro Velho";-;-;-;-
"251065 Parari";-;-;-;-
"251070 Passagem";-;-;-;-
