"Município";"Equipamentos Existentes";"Equipamentos em Uso";"Estab c/ Equip SUS"
"260690 Iguaracy";-;-;-
"260760 Ilha de Itamaracá";1;1;1
"260700 Inajá";-;-;-
"260710 Ingazeira";1;1;1
"260720 Ipojuca";13;13;8
"260730 Ipubi";-;-;-
"260740 Itacuruba";-;-;-
"260750 Itaíba";-;-;-
"260765 Itambé";2;2;2
"260770 Itapetim";-;-;-
"260775 Itapissuma";2;2;2
"260780 Itaquitinga";-;-;-
"260790 Jaboatão dos Guararapes";132;127;12
"260795 Jaqueira";-;-;-
"260800 Jataúba";-;-;-
"260805 Jatobá";-;-;-
"260810 João Alfredo";-;-;-
"260820 Joaquim Nabuco";-;-;-
"260825 Jucati";-;-;-
"260830 Jupi";-;-;-
"260840 Jurema";2;2;2
"260850 Lagoa de Itaenga";1;1;1
"260845 Lagoa do Carro";1;1;1
"260860 Lagoa do Ouro";3;3;2
"260870 Lagoa dos Gatos";-;-;-
"260875 Lagoa Grande";-;-;-
"260880 Lajedo";2;2;2
"260890 Limoeiro";16;16;4
"260900 Macaparana";2;2;2
"260910 Machados";2;2;1
"260915 Manari";-;-;-
"260920 Maraial";-;-;-
"260930 Mirandiba";-;-;-
"261430 Moreilândia";-;-;-
"260940 Moreno";3;3;2
"260950 Nazaré da Mata";2;2;1
"260960 Olinda";127;125;6
"260970 Orobó";2;2;2
"260980 Orocó";-;-;-
"260990 Ouricuri";15;15;1
"261000 Palmares";45;45;4
"261010 Palmeirina";7;7;2
"261020 Panelas";1;1;1
"261030 Paranatama";-;-;-
"261040 Parnamirim";-;-;-
"261050 Passira";-;-;-
"261060 Paudalho";2;2;2
"261070 Paulista";109;106;7
"261080 Pedra";1;1;1
"261090 Pesqueira";1;1;-
"261100 Petrolândia";1;1;1
"261110 Petrolina";150;143;11
"261120 Poção";-;-;-
"261130 Pombos";-;-;-
"261140 Primavera";1;1;1
"261150 Quipapá";1;1;1
"261153 Quixaba";-;-;-
"261160 Recife";1745;1624;55
"261170 Riacho das Almas";1;1;1
"261180 Ribeirão";1;1;1
"261190 Rio Formoso";1;1;1
"261200 Sairé";-;-;-
"261210 Salgadinho";-;-;-
"261220 Salgueiro";5;4;2
"261230 Saloá";-;-;-
"261240 Sanharó";-;-;-
"261245 Santa Cruz";-;-;-
"261247 Santa Cruz da Baixa Verde";-;-;-
"261250 Santa Cruz do Capibaribe";1;1;1
"261255 Santa Filomena";-;-;-
"261260 Santa Maria da Boa Vista";-;-;-
"261270 Santa Maria do Cambucá";-;-;-
"261280 Santa Terezinha";-;-;-
"261290 São Benedito do Sul";-;-;-
"261300 São Bento do Una";3;3;2
"261310 São Caitano";1;1;1
"261320 São João";1;1;1
"261330 São Joaquim do Monte";-;-;-
"261340 São José da Coroa Grande";3;2;2
"261350 São José do Belmonte";-;-;-
"261360 São José do Egito";2;2;1
"261370 São Lourenço da Mata";15;15;3
"261380 São Vicente Ferrer";3;3;2
"261390 Serra Talhada";26;24;3
"261400 Serrita";1;1;1
"261410 Sertânia";1;1;-
"261420 Sirinhaém";1;1;1
"261440 Solidão";-;-;-
"261450 Surubim";4;4;4
"261460 Tabira";2;2;1
"261470 Tacaimbó";-;-;-
"261480 Tacaratu";-;-;-
"261485 Tamandaré";1;1;1
"261500 Taquaritinga do Norte";2;2;1
"261510 Terezinha";-;-;-
"261520 Terra Nova";-;-;-
"261530 Timbaúba";2;2;2
"261540 Toritama";-;-;-
"261550 Tracunhaém";-;-;-
"261560 Trindade";1;1;-
"261570 Triunfo";-;-;-
"261580 Tupanatinga";-;-;-
"261590 Tuparetama";-;-;-
"261600 Venturosa";-;-;-
"261610 Verdejante";-;-;-
"261618 Vertente do Lério";-;-;-
"261620 Vertentes";1;1;1
"261630 Vicência";-;-;-
"261640 Vitória de Santo Antão";18;18;7
"261650 Xexéu";-;-;-
"260000 Município ignorado - PE";-;-;-
"270010 Água Branca";-;-;-
"270020 Anadia";-;-;-
"270030 Arapiraca";56;55;6
"270040 Atalaia";-;-;-
"270050 Barra de Santo Antônio";-;-;-
"270060 Barra de São Miguel";-;-;-
"270070 Batalha";1;1;1
"270080 Belém";-;-;-
"270090 Belo Monte";-;-;-
"270100 Boca da Mata";-;-;-
"270110 Branquinha";-;-;-
"270120 Cacimbinhas";-;-;-
"270130 Cajueiro";-;-;-
"270135 Campestre";-;-;-
"270140 Campo Alegre";1;1;1
"270150 Campo Grande";-;-;-
"270160 Canapi";-;-;-
"270170 Capela";1;1;1
"270180 Carneiros";-;-;-
"270190 Chã Preta";-;-;-
"270200 Coité do Nóia";-;-;-
"270210 Colônia Leopoldina";-;-;-
"270220 Coqueiro Seco";-;-;-
"270230 Coruripe";27;27;2
"270235 Craíbas";-;-;-
"270240 Delmiro Gouveia";1;1;1
"270250 Dois Riachos";-;-;-
"270255 Estrela de Alagoas";-;-;-
"270260 Feira Grande";-;-;-
"270270 Feliz Deserto";-;-;-
"270280 Flexeiras";-;-;-
"270290 Girau do Ponciano";-;-;-
"270300 Ibateguara";-;-;-
"270310 Igaci";-;-;-
"270320 Igreja Nova";2;2;1
"270330 Inhapi";-;-;-
"270340 Jacaré dos Homens";-;-;-
"270350 Jacuípe";-;-;-
"270360 Japaratinga";-;-;-
"270370 Jaramataia";-;-;-
"270375 Jequiá da Praia";-;-;-
"270380 Joaquim Gomes";-;-;-
"270390 Jundiá";-;-;-
"270400 Junqueiro";-;-;-
"270410 Lagoa da Canoa";-;-;-
"270420 Limoeiro de Anadia";-;-;-
"270430 Maceió";397;359;25
"270440 Major Isidoro";-;-;-
"270490 Mar Vermelho";-;-;-
"270450 Maragogi";2;2;1
"270460 Maravilha";-;-;-
"270470 Marechal Deodoro";1;1;1
"270480 Maribondo";-;-;-
"270500 Mata Grande";-;-;-
"270510 Matriz de Camaragibe";-;-;-
"270520 Messias";-;-;-
"270530 Minador do Negrão";-;-;-
"270540 Monteirópolis";-;-;-
"270550 Murici";-;-;-
"270560 Novo Lino";-;-;-
"270570 Olho d'Água das Flores";-;-;-
"270580 Olho d'Água do Casado";-;-;-
"270590 Olho d'Água Grande";-;-;-
"270600 Olivença";-;-;-
"270610 Ouro Branco";-;-;-
"270620 Palestina";-;-;-
"270630 Palmeira dos Índios";24;24;2
"270640 Pão de Açúcar";1;1;1
"270642 Pariconha";-;-;-
"270644 Paripueira";-;-;-
"270650 Passo de Camaragibe";-;-;-
"270660 Paulo Jacinto";-;-;-
"270670 Penedo";2;2;1
"270680 Piaçabuçu";-;-;-
"270690 Pilar";-;-;-
"270700 Pindoba";-;-;-
"270710 Piranhas";-;-;-
"270720 Poço das Trincheiras";-;-;-
"270730 Porto Calvo";-;-;-
"270740 Porto de Pedras";-;-;-
"270750 Porto Real do Colégio";-;-;-
"270760 Quebrangulo";1;1;1
"270770 Rio Largo";5;5;1
"270780 Roteiro";-;-;-
"270790 Santa Luzia do Norte";-;-;-
"270800 Santana do Ipanema";16;16;2
"270810 Santana do Mundaú";-;-;-
"270820 São Brás";-;-;-
"270830 São José da Laje";-;-;-
"270840 São José da Tapera";-;-;-
"270850 São Luís do Quitunde";-;-;-
"270860 São Miguel dos Campos";9;9;1
"270870 São Miguel dos Milagres";-;-;-
"270880 São Sebastião";-;-;-
"270890 Satuba";-;-;-
"270895 Senador Rui Palmeira";-;-;-
"270900 Tanque d'Arca";-;-;-
"270910 Taquarana";-;-;-
"270915 Teotônio Vilela";-;-;-
"270920 Traipu";-;-;-
"270930 União dos Palmares";2;2;1
"270940 Viçosa";1;-;1
"270000 Município ignorado - AL";-;-;-
"280010 Amparo de São Francisco";-;-;-
"280020 Aquidabã";-;-;-
"280030 Aracaju";398;382;25
"280040 Arauá";1;1;1
"280050 Areia Branca";1;-;1
"280060 Barra dos Coqueiros";2;2;2
"280067 Boquim";2;2;1
"280070 Brejo Grande";-;-;-
"280100 Campo do Brito";-;-;-
"280110 Canhoba";-;-;-
"280120 Canindé de São Francisco";2;2;2
"280130 Capela";1;1;1
"280140 Carira";-;-;-
"280150 Carmópolis";-;-;-
"280160 Cedro de São João";-;-;-
"280170 Cristinápolis";1;1;1
"280190 Cumbe";-;-;-
"280200 Divina Pastora";-;-;-
"280210 Estância";15;15;2
"280220 Feira Nova";-;-;-
"280230 Frei Paulo";-;-;-
"280240 Gararu";-;-;-
"280250 General Maynard";-;-;-
"280260 Gracho Cardoso";-;-;-
"280270 Ilha das Flores";-;-;-
"280280 Indiaroba";-;-;-
"280290 Itabaiana";7;7;4
"280300 Itabaianinha";-;-;-
"280310 Itabi";-;-;-
"280320 Itaporanga d'Ajuda";1;1;1
"280330 Japaratuba";2;1;2
"280340 Japoatã";6;2;2
"280350 Lagarto";37;37;3
"280360 Laranjeiras";-;-;-
"280370 Macambira";-;-;-
"280380 Malhada dos Bois";-;-;-
"280390 Malhador";-;-;-
"280400 Maruim";-;-;-
"280410 Moita Bonita";-;-;-
"280420 Monte Alegre de Sergipe";1;1;1
"280430 Muribeca";-;-;-
"280440 Neópolis";1;1;1
"280445 Nossa Senhora Aparecida";-;-;-
"280450 Nossa Senhora da Glória";3;3;1
"280460 Nossa Senhora das Dores";-;-;-
"280470 Nossa Senhora de Lourdes";-;-;-
"280480 Nossa Senhora do Socorro";4;4;1
"280490 Pacatuba";-;-;-
"280500 Pedra Mole";-;-;-
"280510 Pedrinhas";-;-;-
"280520 Pinhão";-;-;-
"280530 Pirambu";-;-;-
"280540 Poço Redondo";2;2;1
"280550 Poço Verde";1;1;1
"280560 Porto da Folha";6;3;2
"280570 Propriá";12;10;1
"280580 Riachão do Dantas";-;-;-
"280590 Riachuelo";-;-;-
"280600 Ribeirópolis";1;1;1
"280610 Rosário do Catete";-;-;-
"280620 Salgado";-;-;-
"280630 Santa Luzia do Itanhy";-;-;-
"280650 Santa Rosa de Lima";-;-;-
"280640 Santana do São Francisco";-;-;-
"280660 Santo Amaro das Brotas";-;-;-
"280670 São Cristóvão";1;1;1
"280680 São Domingos";-;-;-
"280690 São Francisco";-;-;-
"280700 São Miguel do Aleixo";-;-;-
"280710 Simão Dias";1;-;1
"280720 Siriri";-;-;-
"280730 Telha";-;-;-
"280740 Tobias Barreto";2;1;1
"280750 Tomar do Geru";-;-;-
"280760 Umbaúba";-;-;-
"280000 Município ignorado - SE";-;-;-
"290010 Abaíra";-;-;-
"290020 Abaré";-;-;-
"290030 Acajutiba";-;-;-
"290035 Adustina";-;-;-
"290040 Água Fria";-;-;-
"290060 Aiquara";1;1;1
"290070 Alagoinhas";48;48;8
"290080 Alcobaça";2;2;1
"290090 Almadina";-;-;-
"290100 Amargosa";2;2;2
"290110 Amélia Rodrigues";1;1;1
"290115 América Dourada";-;-;-
"290120 Anagé";1;1;1
"290130 Andaraí";-;-;-
"290135 Andorinha";1;1;-
"290140 Angical";-;-;-
"290150 Anguera";-;-;-
"290160 Antas";2;2;2
"290170 Antônio Cardoso";-;-;-
"290180 Antônio Gonçalves";2;2;1
"290190 Aporá";-;-;-
"290195 Apuarema";-;-;-
"290205 Araças";1;-;1
"290200 Aracatu";-;-;-
"290210 Araci";-;-;-
"290220 Aramari";-;-;-
"290225 Arataca";-;-;-
"290230 Aratuípe";1;1;1
"290240 Aurelino Leal";1;1;1
"290250 Baianópolis";-;-;-
"290260 Baixa Grande";-;-;-
"290265 Banzaê";-;-;-
"290270 Barra";12;12;5
"290280 Barra da Estiva";2;2;1
"290290 Barra do Choça";-;-;-
"290300 Barra do Mendes";-;-;-
"290310 Barra do Rocha";-;-;-
"290320 Barreiras";80;80;6
"290323 Barro Alto";-;-;-
"290330 Barro Preto";2;2;1
"290327 Barrocas";-;-;-
"290340 Belmonte";1;1;1
"290350 Belo Campo";2;2;1
"290360 Biritinga";-;-;-
"290370 Boa Nova";-;-;-
"290380 Boa Vista do Tupim";-;-;-
"290390 Bom Jesus da Lapa";11;11;7
"290395 Bom Jesus da Serra";1;1;1
"290400 Boninal";1;1;1
"290405 Bonito";-;-;-
"290410 Boquira";-;-;-
"290420 Botuporã";-;-;-
"290430 Brejões";-;-;-
"290440 Brejolândia";-;-;-
"290450 Brotas de Macaúbas";-;-;-
"290460 Brumado";12;12;3
"290470 Buerarema";-;-;-
"290475 Buritirama";1;1;1
"290480 Caatiba";-;-;-
"290485 Cabaceiras do Paraguaçu";1;1;1
"290490 Cachoeira";2;2;2
"290500 Caculé";1;1;1
"290510 Caém";-;-;-
"290515 Caetanos";-;-;-
"290520 Caetité";5;5;3
"290530 Cafarnaum";-;-;-
"290540 Cairu";-;-;-
"290550 Caldeirão Grande";-;-;-
"290560 Camacan";-;-;-
"290570 Camaçari";28;25;7
"290580 Camamu";1;1;1
"290590 Campo Alegre de Lourdes";-;-;-
"290600 Campo Formoso";2;2;1
"290610 Canápolis";1;1;1
"290620 Canarana";-;-;-
"290630 Canavieiras";2;2;-
"290640 Candeal";-;-;-
"290650 Candeias";30;23;2
"290660 Candiba";-;-;-
"290670 Cândido Sales";-;-;-
"290680 Cansanção";1;1;1
"290682 Canudos";1;1;1
"290685 Capela do Alto Alegre";-;-;-
"290687 Capim Grosso";3;3;1
"290689 Caraíbas";1;1;1
"290690 Caravelas";1;1;1
"290700 Cardeal da Silva";-;-;-
"290710 Carinhanha";1;1;1
"290720 Casa Nova";-;-;-
"290730 Castro Alves";3;3;2
"290740 Catolândia";-;-;-
"290750 Catu";12;12;2
"290755 Caturama";-;-;-
"290760 Central";2;2;1
"290770 Chorrochó";1;1;1
"290780 Cícero Dantas";1;1;-
"290790 Cipó";-;-;-
"290800 Coaraci";-;-;-
"290810 Cocos";-;-;-
"290820 Conceição da Feira";1;1;1
"290830 Conceição do Almeida";1;1;1
"290840 Conceição do Coité";8;8;3
"290850 Conceição do Jacuípe";4;4;2
"290860 Conde";-;-;-
"290870 Condeúba";1;1;1
"290880 Contendas do Sincorá";-;-;-
"290890 Coração de Maria";2;2;1
"290900 Cordeiros";-;-;-
"290910 Coribe";-;-;-
"290920 Coronel João Sá";-;-;-
"290930 Correntina";-;-;-
"290940 Cotegipe";-;-;-
"290950 Cravolândia";-;-;-
"290960 Crisópolis";-;-;-
"290970 Cristópolis";1;1;1
"290980 Cruz das Almas";9;9;4
"290990 Curaçá";1;1;1
"291000 Dário Meira";-;-;-
"291005 Dias d'Ávila";6;6;2
"291010 Dom Basílio";2;2;1
"291020 Dom Macedo Costa";-;-;-
"291030 Elísio Medrado";1;1;1
"291040 Encruzilhada";-;-;-
"291050 Entre Rios";-;-;-
"290050 Érico Cardoso";5;5;3
"291060 Esplanada";-;-;-
"291070 Euclides da Cunha";2;1;1
"291072 Eunápolis";34;33;6
"291075 Fátima";-;-;-
"291077 Feira da Mata";-;-;-
"291080 Feira de Santana";280;231;31
"291085 Filadélfia";-;-;-
"291090 Firmino Alves";-;-;-
"291100 Floresta Azul";-;-;-
"291110 Formosa do Rio Preto";-;-;-
"291120 Gandu";3;3;2
"291125 Gavião";-;-;-
"291130 Gentio do Ouro";-;-;-
"291140 Glória";-;-;-
"291150 Gongogi";-;-;-
"291160 Governador Mangabeira";1;1;1
"291165 Guajeru";-;-;-
"291170 Guanambi";35;35;7
"291180 Guaratinga";1;1;1
"291185 Heliópolis";-;-;-
"291190 Iaçu";3;3;3
"291200 Ibiassucê";1;1;1
"291210 Ibicaraí";-;-;-
"291220 Ibicoara";-;-;-
"291230 Ibicuí";1;1;1
"291240 Ibipeba";-;-;-
"291250 Ibipitanga";1;1;1
"291260 Ibiquera";-;-;-
"291270 Ibirapitanga";-;-;-
"291280 Ibirapuã";-;-;-
"291290 Ibirataia";-;-;-
"291300 Ibitiara";1;1;1
"291310 Ibititá";-;-;-
"291320 Ibotirama";-;-;-
"291330 Ichu";1;1;1
"291340 Igaporã";1;1;1
"291345 Igrapiúna";-;-;-
"291350 Iguaí";1;1;1
"291360 Ilhéus";66;66;9
"291370 Inhambupe";2;2;2
"291380 Ipecaetá";-;-;-
"291390 Ipiaú";4;4;1
"291400 Ipirá";1;1;1
"291410 Ipupiara";-;-;-
"291420 Irajuba";-;-;-
"291430 Iramaia";1;1;1
"291440 Iraquara";2;2;1
"291450 Irará";2;2;1
"291460 Irecê";42;42;3
"291465 Itabela";-;-;-
"291470 Itaberaba";3;3;2
"291480 Itabuna";54;54;8
"291490 Itacaré";-;-;-
"291500 Itaeté";-;-;-
"291510 Itagi";-;-;-
"291520 Itagibá";-;-;-
"291530 Itagimirim";1;1;1
"291535 Itaguaçu da Bahia";-;-;-
"291540 Itaju do Colônia";-;-;-
"291550 Itajuípe";1;1;1
"291560 Itamaraju";11;6;3
"291570 Itamari";-;-;-
"291580 Itambé";1;1;1
"291590 Itanagra";-;-;-
"291600 Itanhém";-;-;-
"291610 Itaparica";2;2;1
"291620 Itapé";-;-;-
"291630 Itapebi";1;1;1
"291640 Itapetinga";18;18;4
"291650 Itapicuru";2;2;2
"291660 Itapitanga";-;-;-
"291670 Itaquara";-;-;-
"291680 Itarantim";-;-;-
"291685 Itatim";-;-;-
"291690 Itiruçu";-;-;-
"291700 Itiúba";2;2;1
"291710 Itororó";-;-;-
"291720 Ituaçu";-;-;-
"291730 Ituberá";-;-;-
"291733 Iuiú";-;-;-
"291735 Jaborandi";2;2;1
"291740 Jacaraci";1;1;1
"291750 Jacobina";21;13;4
"291760 Jaguaquara";1;1;1
"291770 Jaguarari";1;-;1
"291780 Jaguaripe";-;-;-
"291790 Jandaíra";-;-;-
"291800 Jequié";36;36;7
"291810 Jeremoabo";2;2;1
"291820 Jiquiriçá";1;1;1
"291830 Jitaúna";-;-;-
"291835 João Dourado";1;1;1
"291840 Juazeiro";58;58;11
"291845 Jucuruçu";-;-;-
"291850 Jussara";1;1;1
"291855 Jussari";-;-;-
"291860 Jussiape";-;-;-
"291870 Lafaiete Coutinho";-;-;-
"291875 Lagoa Real";-;-;-
"291880 Laje";-;-;-
"291890 Lajedão";1;1;1
"291900 Lajedinho";-;-;-
"291905 Lajedo do Tabocal";-;-;-
"291910 Lamarão";-;-;-
"291915 Lapão";-;-;-
"291920 Lauro de Freitas";46;46;6
"291930 Lençóis";-;-;-
"291940 Licínio de Almeida";-;-;-
"291950 Livramento de Nossa Senhora";5;5;2
"291955 Luís Eduardo Magalhães";4;4;2
"291960 Macajuba";-;-;-
"291970 Macarani";-;-;-
"291980 Macaúbas";3;3;2
"291990 Macururé";1;1;1
"291992 Madre de Deus";3;3;2
"291995 Maetinga";3;3;1
"292000 Maiquinique";-;-;-
"292010 Mairi";2;2;1
"292020 Malhada";-;-;-
"292030 Malhada de Pedras";-;-;-
"292040 Manoel Vitorino";-;-;-
"292045 Mansidão";1;-;1
"292050 Maracás";3;3;1
"292060 Maragogipe";3;3;2
"292070 Maraú";-;-;-
"292080 Marcionílio Souza";-;-;-
"292090 Mascote";-;-;-
"292100 Mata de São João";3;3;1
"292105 Matina";-;-;-
"292110 Medeiros Neto";1;1;1
"292120 Miguel Calmon";1;1;1
"292130 Milagres";1;1;1
"292140 Mirangaba";-;-;-
"292145 Mirante";1;1;1
"292150 Monte Santo";-;-;-
"292160 Morpará";-;-;-
"292170 Morro do Chapéu";2;2;2
"292180 Mortugaba";1;1;1
"292190 Mucugê";-;-;-
"292200 Mucuri";9;9;2
"292205 Mulungu do Morro";-;-;-
"292210 Mundo Novo";1;1;1
"292220 Muniz Ferreira";-;-;-
"292225 Muquém de São Francisco";-;-;-
"292230 Muritiba";2;2;2
"292240 Mutuípe";1;1;1
"292250 Nazaré";2;2;2
"292260 Nilo Peçanha";-;-;-
"292265 Nordestina";2;1;1
"292270 Nova Canaã";-;-;-
"292273 Nova Fátima";-;-;-
"292275 Nova Ibiá";-;-;-
"292280 Nova Itarana";-;-;-
"292285 Nova Redenção";-;-;-
"292290 Nova Soure";-;-;-
"292300 Nova Viçosa";3;3;2
"292303 Novo Horizonte";-;-;-
"292305 Novo Triunfo";-;-;-
"292310 Olindina";1;1;1
"292320 Oliveira dos Brejinhos";-;-;-
"292330 Ouriçangas";-;-;-
"292335 Ourolândia";1;-;1
"292340 Palmas de Monte Alto";-;-;-
"292350 Palmeiras";-;-;-
"292360 Paramirim";7;7;3
"292370 Paratinga";2;2;2
"292380 Paripiranga";-;-;-
"292390 Pau Brasil";-;-;-
"292400 Paulo Afonso";12;12;4
"292405 Pé de Serra";-;-;-
"292410 Pedrão";-;-;-
"292420 Pedro Alexandre";-;-;-
"292430 Piatã";-;-;-
"292440 Pilão Arcado";-;-;-
"292450 Pindaí";1;1;1
"292460 Pindobaçu";1;1;1
"292465 Pintadas";-;-;-
"292467 Piraí do Norte";-;-;-
"292470 Piripá";-;-;-
"292480 Piritiba";-;-;-
"292490 Planaltino";-;-;-
"292500 Planalto";1;1;1
"292510 Poções";4;4;3
"292520 Pojuca";6;6;2
"292525 Ponto Novo";-;-;-
"292530 Porto Seguro";66;57;8
"292540 Potiraguá";-;-;-
"292550 Prado";1;1;1
"292560 Presidente Dutra";1;1;1
"292570 Presidente Jânio Quadros";-;-;-
"292575 Presidente Tancredo Neves";1;1;1
"292580 Queimadas";-;-;-
"292590 Quijingue";-;-;-
"292593 Quixabeira";-;-;-
"292595 Rafael Jambeiro";-;-;-
"292600 Remanso";1;1;1
"292610 Retirolândia";1;1;1
"292620 Riachão das Neves";-;-;-
"292630 Riachão do Jacuípe";1;1;1
"292640 Riacho de Santana";2;2;1
"292650 Ribeira do Amparo";-;-;-
"292660 Ribeira do Pombal";12;11;1
"292665 Ribeirão do Largo";-;-;-
"292670 Rio de Contas";-;-;-
"292680 Rio do Antônio";-;-;-
"292690 Rio do Pires";-;-;-
"292700 Rio Real";6;6;3
"292710 Rodelas";-;-;-
"292720 Ruy Barbosa";-;-;-
"292730 Salinas da Margarida";-;-;-
"292740 Salvador";1569;1508;61
"292750 Santa Bárbara";-;-;-
"292760 Santa Brígida";-;-;-
"292770 Santa Cruz Cabrália";2;2;2
"292780 Santa Cruz da Vitória";-;-;-
"292790 Santa Inês";-;-;-
"292805 Santa Luzia";-;-;-
"292810 Santa Maria da Vitória";1;1;1
"292840 Santa Rita de Cássia";2;2;1
"292850 Santa Teresinha";-;-;-
"292800 Santaluz";-;-;-
"292820 Santana";1;1;1
"292830 Santanópolis";-;-;-
"292860 Santo Amaro";4;4;3
"292870 Santo Antônio de Jesus";32;32;5
"292880 Santo Estêvão";-;-;-
"292890 São Desidério";2;2;2
"292895 São Domingos";-;-;-
"292910 São Felipe";1;-;1
"292900 São Félix";12;12;2
"292905 São Félix do Coribe";-;-;-
"292920 São Francisco do Conde";4;4;1
"292925 São Gabriel";-;-;-
"292930 São Gonçalo dos Campos";-;-;-
"292935 São José da Vitória";-;-;-
"292937 São José do Jacuípe";-;-;-
"292940 São Miguel das Matas";1;-;1
"292950 São Sebastião do Passé";3;3;2
"292960 Sapeaçu";1;1;1
"292970 Sátiro Dias";-;-;-
"292975 Saubara";-;-;-
"292980 Saúde";1;1;1
"292990 Seabra";18;18;2
"293000 Sebastião Laranjeiras";-;-;-
"293010 Senhor do Bonfim";11;11;6
"293020 Sento Sé";-;-;-
"293015 Serra do Ramalho";-;-;-
"293030 Serra Dourada";1;1;1
"293040 Serra Preta";1;1;1
"293050 Serrinha";1;1;1
"293060 Serrolândia";-;-;-
"293070 Simões Filho";7;7;4
"293075 Sítio do Mato";1;1;1
"293076 Sítio do Quinto";-;-;-
"293077 Sobradinho";1;1;1
"293080 Souto Soares";-;-;-
"293090 Tabocas do Brejo Velho";-;-;-
"293100 Tanhaçu";-;-;-
"293105 Tanque Novo";-;-;-
"293110 Tanquinho";-;-;-
"293120 Taperoá";1;-;1
"293130 Tapiramutá";7;7;3
"293135 Teixeira de Freitas";68;68;6
"293140 Teodoro Sampaio";-;-;-
"293150 Teofilândia";-;-;-
"293160 Teolândia";1;1;1
"293170 Terra Nova";-;-;-
"293180 Tremedal";-;-;-
"293190 Tucano";1;1;-
"293200 Uauá";1;1;1
"293210 Ubaíra";1;1;1
"293220 Ubaitaba";-;-;-
"293230 Ubatã";-;-;-
"293240 Uibaí";-;-;-
"293245 Umburanas";-;-;-
"293250 Una";2;2;1
"293260 Urandi";1;1;1
"293270 Uruçuca";-;-;-
"293280 Utinga";1;1;1
"293290 Valença";5;5;2
"293300 Valente";2;2;2
"293305 Várzea da Roça";-;-;-
"293310 Várzea do Poço";1;1;1
"293315 Várzea Nova";-;-;-
"293317 Varzedo";1;1;1
"293320 Vera Cruz";4;4;3
"293325 Vereda";1;1;1
"293330 Vitória da Conquista";148;147;12
"293340 Wagner";-;-;-
"293345 Wanderley";-;-;-
"293350 Wenceslau Guimarães";-;-;-
"293360 Xique-Xique";1;1;1
"290000 Município ignorado - BA";-;-;-
"310010 Abadia dos Dourados";-;-;-
"310020 Abaeté";2;2;1
"310030 Abre Campo";3;3;-
"310040 Acaiaca";-;-;-
"310050 Açucena";-;-;-
"310060 Água Boa";1;1;1
"310070 Água Comprida";-;-;-
"310080 Aguanil";-;-;-
"310090 Águas Formosas";3;1;1
"310100 Águas Vermelhas";1;1;1
"310110 Aimorés";2;2;-
"310120 Aiuruoca";2;2;1
"310130 Alagoa";-;-;-
"310140 Albertina";-;-;-
"310150 Além Paraíba";7;7;1
"310160 Alfenas";40;39;3
"310163 Alfredo Vasconcelos";-;-;-
"310170 Almenara";3;3;2
"310180 Alpercata";-;-;-
"310190 Alpinópolis";3;3;1
"310200 Alterosa";1;1;1
"310205 Alto Caparaó";-;-;-
"315350 Alto Jequitibá";-;-;-
"310210 Alto Rio Doce";-;-;-
"310220 Alvarenga";-;-;-
"310230 Alvinópolis";-;-;-
"310240 Alvorada de Minas";-;-;-
"310250 Amparo do Serra";-;-;-
"310260 Andradas";4;4;2
"310280 Andrelândia";5;5;1
"310285 Angelândia";-;-;-
"310290 Antônio Carlos";-;-;-
"310300 Antônio Dias";-;-;-
"310310 Antônio Prado de Minas";-;-;-
"310320 Araçaí";-;-;-
"310330 Aracitaba";-;-;-
"310340 Araçuaí";2;2;2
"310350 Araguari";29;29;3
"310360 Arantina";-;-;-
"310370 Araponga";-;-;-
"310375 Araporã";1;1;1
"310380 Arapuá";-;-;-
"310390 Araújos";-;-;-
"310400 Araxá";44;41;4
"310410 Arceburgo";1;1;1
"310420 Arcos";6;6;2
"310430 Areado";2;2;1
"310440 Argirita";-;-;-
"310445 Aricanduva";-;-;-
"310450 Arinos";-;-;-
"310460 Astolfo Dutra";1;1;1
"310470 Ataléia";1;1;1
"310480 Augusto de Lima";-;-;-
"310490 Baependi";5;5;1
"310500 Baldim";-;-;-
"310510 Bambuí";9;7;2
"310520 Bandeira";-;-;-
"310530 Bandeira do Sul";-;-;-
"310540 Barão de Cocais";4;3;2
"310550 Barão de Monte Alto";-;-;-
"310560 Barbacena";102;97;6
"310570 Barra Longa";-;-;-
"310590 Barroso";3;2;1
"310600 Bela Vista de Minas";-;-;-
"310610 Belmiro Braga";-;-;-
"310620 Belo Horizonte";1811;1748;49
"310630 Belo Oriente";3;-;1
"310640 Belo Vale";1;1;1
"310650 Berilo";-;-;-
"310665 Berizal";-;-;-
"310660 Bertópolis";-;-;-
"310670 Betim";176;170;9
"310680 Bias Fortes";-;-;-
"310690 Bicas";7;5;2
"310700 Biquinhas";-;-;-
"310710 Boa Esperança";4;4;1
"310720 Bocaina de Minas";-;-;-
"310730 Bocaiúva";-;-;-
"310740 Bom Despacho";5;4;3
"310750 Bom Jardim de Minas";3;3;1
"310760 Bom Jesus da Penha";-;-;-
"310770 Bom Jesus do Amparo";-;-;-
"310780 Bom Jesus do Galho";1;1;1
"310790 Bom Repouso";-;-;-
"310800 Bom Sucesso";2;2;1
"310810 Bonfim";-;-;-
"310820 Bonfinópolis de Minas";-;-;-
"310825 Bonito de Minas";-;-;-
"310830 Borda da Mata";3;3;1
"310840 Botelhos";1;1;1
