"Município";"Leitos Repouso/Observação Ped";"Leitos Repouso/Observação Femin";"Leitos Repouso/Observação Masc";"Leitos Repouso/Observação Indif"
"220050 Amarante";-;-;-;-
"220060 Angical do Piauí";-;-;-;2
"220070 Anísio de Abreu";-;-;-;1
"220080 Antônio Almeida";-;-;-;2
"220090 Aroazes";-;-;-;-
"220095 Aroeiras do Itaim";-;-;-;-
"220100 Arraial";-;2;2;2
"220105 Assunção do Piauí";-;-;-;-
"220110 Avelino Lopes";-;1;1;6
"220115 Baixa Grande do Ribeiro";-;-;-;3
"220117 Barra D'Alcântara";-;-;-;2
"220120 Barras";-;5;5;3
"220130 Barreiras do Piauí";-;-;-;2
"220140 Barro Duro";-;-;-;1
"220150 Batalha";-;-;-;2
"220155 Bela Vista do Piauí";-;-;-;-
"220157 Belém do Piauí";-;-;-;-
"220160 Beneditinos";-;-;-;1
"220170 Bertolínia";-;-;-;-
"220173 Betânia do Piauí";-;-;-;1
"220177 Boa Hora";-;-;-;4
"220180 Bocaina";-;-;-;1
"220190 Bom Jesus";1;2;2;9
"220191 Bom Princípio do Piauí";-;-;-;-
"220192 Bonfim do Piauí";-;-;-;1
"220194 Boqueirão do Piauí";1;-;-;2
"220196 Brasileira";-;-;-;2
"220198 Brejo do Piauí";-;-;-;-
"220200 Buriti dos Lopes";-;-;-;6
"220202 Buriti dos Montes";-;-;-;-
"220205 Cabeceiras do Piauí";-;-;-;2
"220207 Cajazeiras do Piauí";-;-;-;-
"220208 Cajueiro da Praia";-;-;-;4
"220209 Caldeirão Grande do Piauí";-;-;-;-
"220210 Campinas do Piauí";-;-;-;-
"220211 Campo Alegre do Fidalgo";-;-;-;-
"220213 Campo Grande do Piauí";-;-;-;-
"220217 Campo Largo do Piauí";-;-;-;-
"220220 Campo Maior";3;4;9;14
"220225 Canavieira";-;-;-;4
"220230 Canto do Buriti";-;-;-;2
"220240 Capitão de Campos";-;-;-;1
"220245 Capitão Gervásio Oliveira";-;-;-;3
"220250 Caracol";-;-;-;-
"220253 Caraúbas do Piauí";-;-;-;-
"220255 Caridade do Piauí";-;-;-;-
"220260 Castelo do Piauí";-;-;-;4
"220265 Caxingó";-;-;-;-
"220270 Cocal";-;-;-;-
"220271 Cocal de Telha";-;3;2;-
"220272 Cocal dos Alves";-;-;-;-
"220273 Coivaras";-;-;-;3
"220275 Colônia do Gurguéia";-;-;-;1
"220277 Colônia do Piauí";-;-;-;-
"220280 Conceição do Canindé";-;-;-;-
"220285 Coronel José Dias";-;-;-;-
"220290 Corrente";-;-;-;2
"220300 Cristalândia do Piauí";-;-;-;4
"220310 Cristino Castro";-;1;-;-
"220320 Curimatá";-;-;-;2
"220323 Currais";-;-;-;-
"220327 Curral Novo do Piauí";-;-;-;-
"220325 Curralinhos";-;-;-;-
"220330 Demerval Lobão";-;-;-;5
"220335 Dirceu Arcoverde";-;-;-;1
"220340 Dom Expedito Lopes";-;-;-;-
"220345 Dom Inocêncio";-;-;-;2
"220342 Domingos Mourão";-;-;-;-
"220350 Elesbão Veloso";-;-;-;-
"220360 Eliseu Martins";-;-;-;1
"220370 Esperantina";-;-;-;11
"220375 Fartura do Piauí";-;-;-;-
"220380 Flores do Piauí";-;-;-;2
"220385 Floresta do Piauí";-;-;-;4
"220390 Floriano";-;-;-;4
"220400 Francinópolis";3;3;3;-
"220410 Francisco Ayres";-;-;-;-
"220415 Francisco Macedo";-;-;-;-
"220420 Francisco Santos";-;-;-;2
"220430 Fronteiras";-;-;-;3
"220435 Geminiano";-;-;-;-
"220440 Gilbués";-;-;-;-
"220450 Guadalupe";-;-;-;5
"220455 Guaribas";-;-;-;-
"220460 Hugo Napoleão";-;-;-;-
"220465 Ilha Grande";-;-;-;-
"220470 Inhuma";-;-;-;2
"220480 Ipiranga do Piauí";-;-;-;-
"220490 Isaías Coelho";-;-;-;-
"220500 Itainópolis";-;-;-;2
"220510 Itaueira";-;-;-;4
"220515 Jacobina do Piauí";-;3;3;-
"220520 Jaicós";-;-;-;2
"220525 Jardim do Mulato";-;-;-;3
"220527 Jatobá do Piauí";-;-;-;-
"220530 Jerumenha";1;-;-;2
"220535 João Costa";-;-;-;-
"220540 Joaquim Pires";-;-;-;3
"220545 Joca Marques";-;-;-;-
"220550 José de Freitas";-;-;-;5
"220551 Juazeiro do Piauí";-;-;-;-
"220552 Júlio Borges";-;-;-;-
"220553 Jurema";-;-;-;1
"220555 Lagoa Alegre";-;-;-;-
"220557 Lagoa de São Francisco";-;-;-;-
"220556 Lagoa do Barro do Piauí";-;2;2;3
"220558 Lagoa do Piauí";-;-;-;2
"220559 Lagoa do Sítio";-;2;2;-
"220554 Lagoinha do Piauí";-;-;-;-
"220560 Landri Sales";-;-;-;-
"220570 Luís Correia";-;-;-;4
"220580 Luzilândia";-;-;-;6
"220585 Madeiro";-;1;1;-
"220590 Manoel Emídio";-;-;-;-
"220595 Marcolândia";-;-;-;3
"220600 Marcos Parente";-;-;-;-
"220605 Massapê do Piauí";-;-;-;-
"220610 Matias Olímpio";-;-;-;-
"220620 Miguel Alves";-;-;-;3
"220630 Miguel Leão";-;-;-;-
"220635 Milton Brandão";-;-;1;1
"220640 Monsenhor Gil";-;-;-;3
"220650 Monsenhor Hipólito";-;-;-;2
"220660 Monte Alegre do Piauí";-;-;-;4
"220665 Morro Cabeça no Tempo";-;-;-;-
"220667 Morro do Chapéu do Piauí";-;-;-;-
"220669 Murici dos Portelas";-;-;-;-
"220670 Nazaré do Piauí";-;-;-;-
"220672 Nazária";-;-;-;-
"220675 Nossa Senhora de Nazaré";-;-;-;-
"220680 Nossa Senhora dos Remédios";-;-;-;-
"220795 Nova Santa Rita";-;-;-;1
"220690 Novo Oriente do Piauí";-;-;-;-
"220695 Novo Santo Antônio";-;-;-;-
"220700 Oeiras";-;-;-;8
"220710 Olho D'Água do Piauí";-;-;-;-
"220720 Padre Marcos";-;-;-;1
"220730 Paes Landim";-;-;-;-
"220735 Pajeú do Piauí";-;-;-;1
"220740 Palmeira do Piauí";-;-;-;-
"220750 Palmeirais";-;-;-;2
"220755 Paquetá";-;-;-;-
"220760 Parnaguá";-;-;-;1
"220770 Parnaíba";2;8;8;70
"220775 Passagem Franca do Piauí";-;-;-;-
"220777 Patos do Piauí";-;-;-;15
"220779 Pau D'Arco do Piauí";-;-;-;-
"220780 Paulistana";-;-;-;2
"220785 Pavussu";-;-;-;4
"220790 Pedro II";-;3;2;4
"220793 Pedro Laurentino";-;-;-;2
"220800 Picos";1;3;3;25
"220810 Pimenteiras";-;-;-;-
"220820 Pio IX";-;-;-;-
"220830 Piracuruca";-;-;-;-
"220840 Piripiri";-;-;-;-
"220850 Porto";-;-;-;1
"220855 Porto Alegre do Piauí";-;-;-;1
"220860 Prata do Piauí";4;3;3;1
"220865 Queimada Nova";-;-;-;1
"220870 Redenção do Gurguéia";-;-;-;1
"220880 Regeneração";-;-;-;2
"220885 Riacho Frio";-;-;-;-
"220887 Ribeira do Piauí";-;-;-;-
"220890 Ribeiro Gonçalves";-;-;-;1
"220900 Rio Grande do Piauí";-;-;-;3
"220910 Santa Cruz do Piauí";-;-;-;3
"220915 Santa Cruz dos Milagres";-;-;-;-
"220920 Santa Filomena";-;-;-;-
"220930 Santa Luz";-;2;2;-
"220937 Santa Rosa do Piauí";-;-;-;2
"220935 Santana do Piauí";-;-;-;-
"220940 Santo Antônio de Lisboa";-;2;2;-
"220945 Santo Antônio dos Milagres";-;-;-;-
"220950 Santo Inácio do Piauí";-;-;-;-
"220955 São Braz do Piauí";-;-;-;-
"220960 São Félix do Piauí";-;-;-;-
"220965 São Francisco de Assis do Piauí";-;-;-;-
"220970 São Francisco do Piauí";-;-;-;1
"220975 São Gonçalo do Gurguéia";-;-;-;-
"220980 São Gonçalo do Piauí";-;-;-;-
"220985 São João da Canabrava";-;-;-;-
"220987 São João da Fronteira";-;-;-;-
"220990 São João da Serra";-;-;-;2
"220995 São João da Varjota";-;-;-;-
"220997 São João do Arraial";2;2;2;-
"221000 São João do Piauí";-;-;-;2
"221005 São José do Divino";-;-;-;5
"221010 São José do Peixe";-;-;-;-
"221020 São José do Piauí";-;-;-;1
"221030 São Julião";-;-;-;1
"221035 São Lourenço do Piauí";-;-;-;-
"221037 São Luis do Piauí";-;-;-;-
"221038 São Miguel da Baixa Grande";-;-;-;-
"221039 São Miguel do Fidalgo";-;-;-;-
"221040 São Miguel do Tapuio";-;-;-;-
"221050 São Pedro do Piauí";-;-;-;4
"221060 São Raimundo Nonato";10;36;18;29
"221062 Sebastião Barros";-;-;-;-
"221063 Sebastião Leal";-;2;2;6
"221065 Sigefredo Pacheco";-;-;-;-
"221070 Simões";-;-;-;-
"221080 Simplício Mendes";-;-;-;-
"221090 Socorro do Piauí";-;-;-;-
"221093 Sussuapara";-;-;-;4
"221095 Tamboril do Piauí";-;-;-;2
"221097 Tanque do Piauí";-;-;-;-
"221100 Teresina";7;14;26;44
"221110 União";-;-;-;8
"221120 Uruçuí";-;-;-;-
"221130 Valença do Piauí";-;-;-;2
"221135 Várzea Branca";-;-;-;-
"221140 Várzea Grande";-;-;-;-
"221150 Vera Mendes";-;-;-;-
"221160 Vila Nova do Piauí";-;-;-;-
"221170 Wall Ferraz";-;-;-;-
"220000 Município ignorado - PI";-;-;-;-
"230010 Abaiara";-;-;-;-
"230015 Acarape";-;-;-;6
"230020 Acaraú";-;-;-;2
"230030 Acopiara";-;-;-;1
"230040 Aiuaba";-;-;-;-
"230050 Alcântaras";-;-;-;6
"230060 Altaneira";-;-;-;1
"230070 Alto Santo";7;10;10;-
"230075 Amontada";-;-;-;1
"230080 Antonina do Norte";-;2;2;-
"230090 Apuiarés";-;-;-;-
"230100 Aquiraz";-;25;56;2
"230110 Aracati";-;1;1;-
"230120 Aracoiaba";-;4;4;-
"230125 Ararendá";-;-;-;1
"230130 Araripe";-;-;-;5
"230140 Aratuba";2;-;-;8
"230150 Arneiroz";-;-;-;-
"230160 Assaré";-;-;-;-
"230170 Aurora";4;4;4;-
"230180 Baixio";-;-;-;-
"230185 Banabuiú";-;-;-;3
"230190 Barbalha";1;5;6;12
"230195 Barreira";4;4;8;1
"230200 Barro";1;3;3;-
"230205 Barroquinha";4;8;2;-
"230210 Baturité";-;-;-;3
"230220 Beberibe";2;2;-;19
"230230 Bela Cruz";-;-;-;1
"230240 Boa Viagem";-;2;-;-
"230250 Brejo Santo";2;-;-;1
"230260 Camocim";-;4;5;13
"230270 Campos Sales";-;4;4;2
"230280 Canindé";1;3;1;6
"230290 Capistrano";-;1;1;3
"230300 Caridade";-;-;-;4
"230310 Cariré";-;-;-;-
"230320 Caririaçu";-;-;-;5
"230330 Cariús";-;-;-;2
"230340 Carnaubal";-;-;-;-
"230350 Cascavel";-;-;-;17
"230360 Catarina";-;-;-;2
"230365 Catunda";-;-;-;-
"230370 Caucaia";2;1;11;10
"230380 Cedro";-;4;4;1
"230390 Chaval";2;2;2;-
"230393 Choró";2;-;-;-
"230395 Chorozinho";-;-;-;-
"230400 Coreaú";-;4;-;-
"230410 Crateús";3;5;3;12
"230420 Crato";-;5;4;18
"230423 Croatá";-;-;-;1
"230425 Cruz";-;-;-;2
"230426 Deputado Irapuan Pinheiro";-;-;-;7
"230427 Ererê";-;-;-;-
"230428 Eusébio";-;5;25;6
"230430 Farias Brito";-;2;2;-
"230435 Forquilha";-;-;-;-
"230440 Fortaleza";69;84;114;308
"230445 Fortim";-;4;4;-
"230450 Frecheirinha";-;2;2;-
"230460 General Sampaio";3;3;3;-
"230465 Graça";-;-;-;-
"230470 Granja";-;-;-;1
"230480 Granjeiro";5;5;4;-
"230490 Groaíras";-;-;-;-
"230495 Guaiúba";-;-;-;6
"230500 Guaraciaba do Norte";-;-;-;2
"230510 Guaramiranga";-;-;-;2
"230520 Hidrolândia";-;2;2;-
"230523 Horizonte";5;3;3;11
"230526 Ibaretama";-;-;-;-
"230530 Ibiapina";-;-;-;10
"230533 Ibicuitinga";-;4;4;2
"230535 Icapuí";-;-;-;-
"230540 Icó";-;1;1;6
"230550 Iguatu";2;1;-;20
"230560 Independência";-;-;-;4
"230565 Ipaporanga";-;-;-;-
"230570 Ipaumirim";-;-;-;4
"230580 Ipu";-;2;2;2
"230590 Ipueiras";-;-;-;-
"230600 Iracema";-;-;-;2
"230610 Irauçuba";-;-;-;1
"230620 Itaiçaba";-;-;-;-
"230625 Itaitinga";-;-;22;6
"230630 Itapagé";-;-;-;1
"230640 Itapipoca";1;-;-;8
"230650 Itapiúna";-;-;-;5
"230655 Itarema";-;-;-;-
"230660 Itatira";3;2;2;3
"230670 Jaguaretama";-;2;-;-
"230680 Jaguaribara";-;-;-;-
"230690 Jaguaribe";-;-;-;7
"230700 Jaguaruana";-;-;-;4
"230710 Jardim";-;-;-;4
"230720 Jati";-;-;-;-
"230725 Jijoca de Jericoacoara";6;3;3;5
"230730 Juazeiro do Norte";35;4;4;60
"230740 Jucás";3;6;3;-
"230750 Lavras da Mangabeira";2;2;2;2
"230760 Limoeiro do Norte";-;2;-;4
"230763 Madalena";-;-;-;-
"230765 Maracanaú";4;8;8;4
"230770 Maranguape";5;5;1;9
"230780 Marco";-;-;-;2
"230790 Martinópole";-;-;-;-
"230800 Massapê";2;3;2;-
"230810 Mauriti";-;-;-;-
"230820 Meruoca";-;2;-;1
"230830 Milagres";-;-;2;2
"230835 Milhã";-;-;-;1
"230837 Miraíma";-;-;-;-
"230840 Missão Velha";1;-;-;-
"230850 Mombaça";-;-;-;5
"230860 Monsenhor Tabosa";-;-;-;-
"230870 Morada Nova";-;-;-;4
"230880 Moraújo";-;-;-;1
"230890 Morrinhos";-;-;-;2
"230900 Mucambo";2;2;2;-
"230910 Mulungu";-;-;-;2
"230920 Nova Olinda";-;-;-;1
"230930 Nova Russas";-;-;-;2
"230940 Novo Oriente";-;-;-;-
"230945 Ocara";-;-;-;6
"230950 Orós";-;1;-;3
"230960 Pacajus";-;-;-;3
"230970 Pacatuba";-;-;-;1
"230980 Pacoti";-;-;-;-
"230990 Pacujá";-;2;2;-
"231000 Palhano";-;-;-;2
"231010 Palmácia";-;-;-;1
"231020 Paracuru";5;3;3;-
"231025 Paraipaba";-;-;-;-
"231030 Parambu";6;14;10;11
"231040 Paramoti";3;-;3;-
"231050 Pedra Branca";-;5;-;13
"231060 Penaforte";4;4;1;4
"231070 Pentecoste";2;2;2;4
"231080 Pereiro";-;-;-;-
"231085 Pindoretama";-;-;-;1
"231090 Piquet Carneiro";-;10;8;4
"231095 Pires Ferreira";-;2;2;6
"231100 Poranga";-;-;-;-
"231110 Porteiras";-;-;-;1
"231120 Potengi";3;2;4;4
"231123 Potiretama";-;-;-;-
"231126 Quiterianópolis";-;-;-;-
"231130 Quixadá";-;15;14;1
"231135 Quixelô";-;-;-;3
"231140 Quixeramobim";5;2;2;8
"231150 Quixeré";-;-;-;-
"231160 Redenção";-;16;30;1
"231170 Reriutaba";-;-;-;-
"231180 Russas";1;1;-;2
"231190 Saboeiro";-;2;2;-
"231195 Salitre";4;-;-;-
"231220 Santa Quitéria";-;-;-;9
"231200 Santana do Acaraú";-;-;-;14
"231210 Santana do Cariri";-;-;-;-
"231230 São Benedito";3;-;-;14
"231240 São Gonçalo do Amarante";1;4;6;3
"231250 São João do Jaguaribe";-;-;-;-
"231260 São Luís do Curu";-;-;-;-
"231270 Senador Pompeu";-;-;-;7
"231280 Senador Sá";2;3;2;3
"231290 Sobral";-;17;6;73
"231300 Solonópole";4;3;3;-
"231310 Tabuleiro do Norte";1;-;-;6
"231320 Tamboril";-;-;-;5
"231325 Tarrafas";-;-;-;-
"231330 Tauá";5;3;3;8
"231335 Tejuçuoca";-;-;-;-
"231340 Tianguá";-;-;-;9
"231350 Trairi";-;-;2;-
"231355 Tururu";-;-;-;-
"231360 Ubajara";-;2;2;-
"231370 Umari";-;-;-;-
"231375 Umirim";-;-;-;1
"231380 Uruburetama";-;-;-;-
"231390 Uruoca";1;-;-;2
"231395 Varjota";-;-;-;-
"231400 Várzea Alegre";6;7;7;-
"231410 Viçosa do Ceará";-;-;-;-
"230000 Município ignorado - CE";-;-;-;-
"240010 Acari";-;-;-;-
"240020 Açu";-;-;-;8
"240030 Afonso Bezerra";-;-;-;-
"240040 Água Nova";-;-;-;2
"240050 Alexandria";-;-;-;-
"240060 Almino Afonso";-;-;-;-
"240070 Alto do Rodrigues";-;-;-;3
"240080 Angicos";-;-;-;-
"240090 Antônio Martins";-;-;-;-
"240100 Apodi";-;-;-;-
"240110 Areia Branca";-;-;-;1
"240120 Arês";-;-;-;5
"240130 Augusto Severo";-;-;-;-
"240140 Baía Formosa";-;-;-;-
"240145 Baraúna";1;1;1;2
"240150 Barcelona";-;-;-;5
"240160 Bento Fernandes";5;5;5;-
"240165 Bodó";8;4;4;-
"240170 Bom Jesus";-;-;-;-
"240180 Brejinho";-;-;-;-
"240185 Caiçara do Norte";-;-;-;2
"240190 Caiçara do Rio do Vento";-;3;3;-
"240200 Caicó";3;2;2;3
"240210 Campo Redondo";-;-;-;5
"240220 Canguaretama";-;-;-;-
"240230 Caraúbas";1;1;1;2
"240240 Carnaúba dos Dantas";5;3;3;2
"240250 Carnaubais";-;-;-;-
"240260 Ceará-Mirim";-;-;-;1
"240270 Cerro Corá";-;-;-;-
"240280 Coronel Ezequiel";-;-;-;-
"240290 Coronel João Pessoa";-;-;-;-
"240300 Cruzeta";-;-;-;-
"240310 Currais Novos";3;3;4;1
"240320 Doutor Severiano";-;-;-;3
"240330 Encanto";-;-;-;1
"240340 Equador";-;-;-;2
"240350 Espírito Santo";-;-;-;2
"240360 Extremoz";-;-;-;3
"240370 Felipe Guerra";-;-;-;1
"240375 Fernando Pedroza";-;-;-;-
"240380 Florânia";-;-;-;1
"240390 Francisco Dantas";-;-;-;-
"240400 Frutuoso Gomes";1;1;1;1
"240410 Galinhos";-;-;-;-
"240420 Goianinha";6;6;6;7
"240430 Governador Dix-Sept Rosado";-;-;-;-
"240440 Grossos";-;-;-;-
"240450 Guamaré";-;-;-;-
"240460 Ielmo Marinho";-;1;-;14
"240470 Ipanguaçu";-;-;-;2
"240480 Ipueira";-;-;-;5
"240485 Itajá";-;-;-;-
"240490 Itaú";-;-;-;1
"240500 Jaçanã";-;-;-;-
"240510 Jandaíra";-;-;-;-
"240520 Janduís";-;-;-;-
"240530 Januário Cicco";2;2;2;-
"240540 Japi";-;-;-;-
"240550 Jardim de Angicos";-;1;1;-
"240560 Jardim de Piranhas";-;-;-;1
"240570 Jardim do Seridó";6;10;10;4
"240580 João Câmara";-;-;-;1
"240590 João Dias";2;4;4;-
"240600 José da Penha";-;-;-;-
"240610 Jucurutu";-;-;-;-
"240615 Jundiá";-;-;-;1
"240620 Lagoa d'Anta";-;-;-;2
"240630 Lagoa de Pedras";4;5;4;-
"240640 Lagoa de Velhos";-;-;-;-
"240650 Lagoa Nova";-;-;-;-
"240660 Lagoa Salgada";-;-;-;-
"240670 Lajes";5;6;6;1
"240680 Lajes Pintadas";1;-;-;-
"240690 Lucrécia";-;-;-;1
"240700 Luís Gomes";-;-;-;-
"240710 Macaíba";2;1;3;4
"240720 Macau";-;-;-;-
"240725 Major Sales";-;-;-;-
"240730 Marcelino Vieira";-;-;-;-
"240740 Martins";-;3;3;-
"240750 Maxaranguape";-;-;-;-
"240760 Messias Targino";-;-;-;-
"240770 Montanhas";-;-;-;1
"240780 Monte Alegre";-;-;-;2
"240790 Monte das Gameleiras";-;-;-;-
"240800 Mossoró";-;-;1;2
"240810 Natal";8;3;2;73
"240820 Nísia Floresta";-;2;2;2
"240830 Nova Cruz";-;-;-;-
"240840 Olho-d'Água do Borges";-;-;-;-
"240850 Ouro Branco";-;3;2;-
"240860 Paraná";-;-;-;1
"240870 Paraú";-;-;-;6
"240880 Parazinho";3;2;2;2
"240890 Parelhas";-;-;-;3
"240325 Parnamirim";-;3;3;9
"240910 Passa e Fica";2;-;-;2
"240920 Passagem";-;-;-;-
"240930 Patu";-;-;-;1
"240940 Pau dos Ferros";-;-;-;12
"240950 Pedra Grande";-;-;-;3
"240960 Pedra Preta";-;-;-;2
"240970 Pedro Avelino";-;-;-;1
"240980 Pedro Velho";3;3;3;2
"240990 Pendências";-;-;-;-
"241000 Pilões";3;2;2;7
"241010 Poço Branco";-;-;-;-
"241020 Portalegre";-;-;-;1
"241025 Porto do Mangue";-;2;2;3
"241040 Pureza";-;-;-;-
"241050 Rafael Fernandes";-;-;-;2
"241060 Rafael Godeiro";2;2;2;-
"241070 Riacho da Cruz";-;-;-;1
"241080 Riacho de Santana";2;2;2;-
"241090 Riachuelo";-;-;-;-
"240895 Rio do Fogo";2;2;2;1
"241100 Rodolfo Fernandes";-;-;-;3
"241110 Ruy Barbosa";-;-;-;-
"241120 Santa Cruz";-;-;-;5
"240933 Santa Maria";-;-;-;3
"241140 Santana do Matos";-;-;-;1
"241142 Santana do Seridó";-;-;-;-
"241150 Santo Antônio";-;-;-;2
"241160 São Bento do Norte";-;-;-;8
"241170 São Bento do Trairí";-;5;3;-
"241180 São Fernando";-;-;-;4
"241190 São Francisco do Oeste";-;-;-;-
"241200 São Gonçalo do Amarante";-;4;4;2
"241210 São João do Sabugi";-;-;-;-
"241220 São José de Mipibu";2;1;41;4
"241230 São José do Campestre";-;-;-;2
"241240 São José do Seridó";3;6;3;1
"241250 São Miguel";-;3;3;5
"241255 São Miguel do Gostoso";-;-;-;-
"241260 São Paulo do Potengi";-;-;-;-
"241270 São Pedro";-;-;-;-
"241280 São Rafael";-;-;-;3
"241290 São Tomé";-;-;-;-
"241300 São Vicente";1;3;3;-
"241310 Senador Elói de Souza";-;-;-;-
"241320 Senador Georgino Avelino";1;1;1;2
"241030 Serra Caiada";-;4;4;2
"241330 Serra de São Bento";-;-;-;-
"241335 Serra do Mel";-;-;-;2
"241340 Serra Negra do Norte";-;-;-;1
"241350 Serrinha";-;-;-;-
"241355 Serrinha dos Pintos";-;-;-;-
"241360 Severiano Melo";-;-;-;1
"241370 Sítio Novo";-;1;1;-
"241380 Taboleiro Grande";-;-;-;-
"241390 Taipu";-;-;-;-
"241400 Tangará";-;-;-;-
"241410 Tenente Ananias";1;1;1;3
"241415 Tenente Laurentino Cruz";-;-;-;-
"241105 Tibau";3;5;5;-
"241420 Tibau do Sul";-;-;-;3
"241430 Timbaúba dos Batistas";-;-;-;-
"241440 Touros";-;-;-;-
"241445 Triunfo Potiguar";-;-;-;-
"241450 Umarizal";-;-;-;4
"241460 Upanema";-;-;-;-
"241470 Várzea";-;-;-;3
"241475 Venha-Ver";-;-;-;12
"241480 Vera Cruz";-;-;-;-
"241490 Viçosa";-;-;-;1
"241500 Vila Flor";-;-;-;-
"240000 Município ignorado - RN";-;-;-;-
"250010 Água Branca";1;1;1;-
"250020 Aguiar";-;2;3;-
"250030 Alagoa Grande";-;2;2;-
"250040 Alagoa Nova";13;10;7;4
"250050 Alagoinha";-;-;-;1
"250053 Alcantil";-;-;-;-
"250057 Algodão de Jandaíra";-;-;-;-
"250060 Alhandra";-;-;-;-
"250073 Amparo";-;2;2;-
"250077 Aparecida";-;-;-;-
"250080 Araçagi";-;-;-;-
"250090 Arara";-;-;-;-
"250100 Araruna";-;-;-;-
"250110 Areia";-;-;-;-
"250115 Areia de Baraúnas";-;-;-;2
"250120 Areial";-;-;-;-
"250130 Aroeiras";-;2;2;-
"250135 Assunção";-;-;-;1
"250140 Baía da Traição";-;-;-;7
"250150 Bananeiras";-;-;-;-
"250153 Baraúna";4;-;-;7
"250160 Barra de Santa Rosa";-;-;-;5
"250157 Barra de Santana";-;-;-;4
"250170 Barra de São Miguel";-;-;-;-
"250180 Bayeux";7;5;2;6
"250190 Belém";-;-;-;-
"250200 Belém do Brejo do Cruz";-;3;3;-
"250205 Bernardino Batista";4;4;4;-
"250210 Boa Ventura";-;-;-;-
"250215 Boa Vista";-;2;2;-
"250220 Bom Jesus";-;-;-;-
"250230 Bom Sucesso";-;-;-;-
"250240 Bonito de Santa Fé";-;-;-;2
"250250 Boqueirão";-;-;-;15
"250270 Borborema";-;-;-;-
"250280 Brejo do Cruz";-;-;-;4
"250290 Brejo dos Santos";-;-;-;-
"250300 Caaporã";-;-;-;2
"250310 Cabaceiras";-;-;-;-
"250320 Cabedelo";-;-;-;-
"250330 Cachoeira dos Índios";-;-;-;-
"250340 Cacimba de Areia";-;-;-;-
"250350 Cacimba de Dentro";1;-;-;-
"250355 Cacimbas";-;-;-;-
"250360 Caiçara";-;-;-;-
"250370 Cajazeiras";-;-;-;4
"250375 Cajazeirinhas";-;2;2;-
"250380 Caldas Brandão";-;-;-;1
"250390 Camalaú";-;5;4;1
"250400 Campina Grande";33;14;31;118
"250403 Capim";-;-;-;2
"250407 Caraúbas";-;2;2;-
"250410 Carrapateira";-;-;-;-
"250415 Casserengue";-;-;-;-
"250420 Catingueira";-;-;-;1
"250430 Catolé do Rocha";-;-;-;5
"250435 Caturité";-;-;-;2
"250440 Conceição";1;-;-;-
"250450 Condado";-;-;-;8
"250460 Conde";-;-;-;71
"250470 Congo";-;-;-;3
"250480 Coremas";2;3;3;-
"250485 Coxixola";-;-;-;-
"250490 Cruz do Espírito Santo";-;3;4;-
"250500 Cubati";-;-;-;4
"250510 Cuité";-;2;2;1
"250523 Cuité de Mamanguape";-;-;-;1
"250520 Cuitegi";-;-;-;1
"250527 Curral de Cima";-;-;-;3
"250530 Curral Velho";-;-;-;-
"250535 Damião";-;-;-;4
"250540 Desterro";-;3;3;3
"250560 Diamante";-;-;-;-
"250570 Dona Inês";1;2;2;-
"250580 Duas Estradas";-;-;-;4
"250590 Emas";-;-;-;-
"250600 Esperança";-;-;-;-
"250610 Fagundes";-;-;-;-
"250620 Frei Martinho";-;-;-;2
"250625 Gado Bravo";1;-;-;1
"250630 Guarabira";3;-;-;3
"250640 Gurinhém";-;-;-;-
"250650 Gurjão";-;-;-;-
"250660 Ibiara";-;-;-;3
"250260 Igaracy";-;-;-;-
"250670 Imaculada";-;-;-;-
"250680 Ingá";-;3;3;-
"250690 Itabaiana";-;3;7;-
"250700 Itaporanga";-;4;4;1
"250710 Itapororoca";-;-;2;7
"250720 Itatuba";-;4;4;2
"250730 Jacaraú";-;6;3;-
"250740 Jericó";-;-;-;-
"250750 João Pessoa";25;44;47;124
"251365 Joca Claudino";2;2;2;1
"250760 Juarez Távora";3;-;-;12
"250770 Juazeirinho";-;-;-;-
"250780 Junco do Seridó";7;7;8;-
"250790 Juripiranga";4;4;4;2
"250800 Juru";-;-;-;-
"250810 Lagoa";-;2;2;-
"250820 Lagoa de Dentro";-;-;-;-
"250830 Lagoa Seca";-;-;-;1
"250840 Lastro";-;-;-;3
"250850 Livramento";-;3;3;-
"250855 Logradouro";-;-;-;1
"250860 Lucena";3;6;4;8
"250870 Mãe d'Água";-;-;-;2
"250880 Malta";-;-;-;1
"250890 Mamanguape";-;2;2;15
"250900 Manaíra";-;-;-;-
"250905 Marcação";-;-;-;-
"250910 Mari";1;-;1;2
"250915 Marizópolis";-;-;-;-
"250920 Massaranduba";1;1;1;1
"250930 Mataraca";2;2;2;1
"250933 Matinhas";-;-;-;-
"250937 Mato Grosso";-;1;1;-
"250939 Maturéia";-;-;-;-
"250940 Mogeiro";-;-;-;1
"250950 Montadas";-;-;4;-
"250960 Monte Horebe";-;-;-;-
"250970 Monteiro";2;9;7;-
"250980 Mulungu";-;-;-;-
"250990 Natuba";-;-;-;-
"251000 Nazarezinho";-;-;-;1
"251010 Nova Floresta";-;-;-;-
"251020 Nova Olinda";-;-;-;-
"251030 Nova Palmeira";-;-;-;1
"251040 Olho d'Água";-;1;-;-
"251050 Olivedos";-;-;-;6
"251060 Ouro Velho";-;-;-;2
"251065 Parari";-;-;-;-
"251070 Passagem";-;-;-;6
